"","990
117","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
122","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","6","",".",".",".",".",".",".",".","66.7","",".",".","",".","33.3",".",".",".","."
"Readng & Rsch-Accountng PhD","999
130","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"232
ACCT I S","Dept. Total","2227","3.269","33.7","20.3","25.3","10.4","8.0","1.1","0.6","0.3","",".",".","",".","0.1","0.1",".","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","2.698","12.1","15.5","17.2","27.6","20.7","5.2","1.7",".","",".",".","",".",".",".",".",".","."
"Sophomore","","465","2.985","20.6","20.4","25.4","16.1","12.9","2.2","2.4",".","",".",".","",".",".",".",".",".","."
"Junior","","689","3.170","27.1","17.6","30.8","12.6","10.9","0.9",".",".","",".",".","",".",".","0.1",".",".","."
"Senior","","682","3.413","39.4","22.6","25.4","6.7","4.5","0.9","0.1",".","",".",".","",".",".","0.3",".",".","."
"Undergraduates","","1894","3.198","29.5","20.0","27.1","11.8","9.4","1.3","0.7",".","",".",".","",".",".","0.2",".",".","."
"Special","","15","3.042","13.3","13.3","20.0","33.3",".",".",".","13.3","",".",".","",".",".",".",".","6.7","."
"Graduate","","318","3.714","59.4","22.6","15.1","0.6","0.3",".",".","1.3","",".",".","",".","0.6",".",".",".","."
"","Dept. Total","2227","3.269","33.7","20.3","25.3","10.4","8.0","1.1","0.6","0.3","",".",".","",".","0.1","0.1",".","0.0","."
