"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","100
001","49","3.867","85.7","10.2","2.0",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"","100
002","49","3.755","63.3","26.5","8.2","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","49","3.520","63.3","10.2","8.2","12.2","2.0","4.1",".",".",".",".",".",".",".",".",".","."
"","100
004","49","3.561","61.2","12.2","16.3","6.1","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"","100
005","48","3.719","77.1","6.3","6.3","4.2","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
006","50","3.770","76.0","12.0","8.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"","100
007","100","3.894","90.0","5.0","2.0",".","1.0",".","1.0",".",".",".",".",".","1.0",".",".","."
"Disability and Society","Course Total","394","3.748","75.9","10.9","6.6","3.3","1.5","1.0","0.5",".",".",".",".",".","0.3",".",".","."
"Disability and Substance Abuse","121
001","68","3.875","86.8","5.9","4.4","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"Health & Rhabilitatn Prfessns","125
001","70","3.943","98.6",".",".",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"","300
001","66","3.939","95.5",".","3.0",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"","300
002","75","3.980","94.7","4.0",".",".",".",".",".",".",".",".",".",".","1.3",".",".","."
"","300
003","72","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","213","3.967","95.3","2.8","0.9",".","0.5",".",".",".",".",".",".",".","0.5",".",".","."
"","310
001","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Positive Psych and Well Being","Course Total","48","3.958","93.8","4.2","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Prmtion Disab & Illness","316
001","45","3.911","88.9","4.4","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","29","3.845","79.3","17.2",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Self Mngmt Illness, Disability","Course Total","59","3.924","89.8","8.5",".",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sport Psychology","335
001","34","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365
001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"ECSE Mthds Infant & Toddlers","455
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching Sem - Dual Major","457
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","464
001","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","464
002","31","3.871","77.4","19.4","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis and Assessment","Course Total","60","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Stdt Teaching Seminar","467
002","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","468
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary Student Teaching Smr","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","472
001","31","3.968","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","472
002","19","3.711","78.9","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Methods in Transtn & Voc Educ","Course Total","50","3.870","90.0","6.0","2.0",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"","473
001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","473
002","32","3.672","65.6","21.9","3.1","6.3",".","3.1",".",".",".",".",".",".",".",".",".","."
"Class Mgmt for Inclusive Class","Course Total","60","3.817","80.0","13.3","1.7","3.3",".","1.7",".",".",".",".",".",".",".",".",".","."
"SE Practicum: Early Child-Elem","475
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Practicum: Sec (Gr 4-12)","476
001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Student Teaching: PK - Gr 9","477
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 82 of 476",""
