"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"ELPA","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Senior","2","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Undergraduates","4","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Special","7","4.000","100.0",".",".","",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","541","3.963","80.0","2.4","0.4","",".","",".","",".","0.4","11.3","",".","0.2","",".","2.0","3.1",".",".","0.2"
"Prof Yr 2","2","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","11","3.955","90.9","9.1",".","",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","13","3.962","92.3","7.7",".","",".","",".","",".",".",".","",".",".","",".",".",".",".",".","."
