"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","360
015","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
016","19","3.632","42.1","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
017","18","3.583","33.3","55.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","360
018","18","3.667","38.9","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
019","18","3.583","38.9","50.0","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","360
020","19","3.526","36.8","36.8","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","360
021","18","3.556","33.3","50.0","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","360
022","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
023","21","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
024","19","3.368","21.1","52.6","21.1",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","360
100","18","3.529","44.4","27.8","11.1","5.6","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"Workplace Communication","Course Total","419","3.632","44.4","44.2","6.9","2.4","1.2","0.2","0.2",".",".",".",".",".","0.5",".",".","."
"","370
001","43","3.826","76.7","11.6","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Case Interview Analysis","Course Total","64","3.867","81.3","10.9","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Learning-BusAnalytics","656
001","35","3.500","37.1","40.0","11.4","8.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"","710
020","36","3.889","83.3","13.9",".","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","710
021","35","3.700","60.0","25.7","11.4",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Ethics, Integrity and Society","Course Total","71","3.796","71.8","19.7","5.6","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Role of Business in Society","713
040","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consulting Practicum","725
020","72","3.750","56.9","36.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Robotic Process Automation","745
010","74","3.649","73.0","9.5","12.2","1.4",".",".","4.1",".",".",".",".",".",".",".",".","."
"Adv SQL & Data Warehousing","746
010","84","3.958","96.4",".","2.4","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Business Data Technology","760
001","30","3.833","70.0","26.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
030","27","3.537","29.6","48.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","32","3.638","40.6","40.6","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","777
010","50","3.620","46.0","36.0","16.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","777
011","53","3.717","54.7","34.0","11.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consulting Skills Bootcamp","Course Total","103","3.670","50.5","35.0","13.6",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"","790
010","36","3.847","80.6","8.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
011","27","3.852","81.5","14.8",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","790
012","31","3.919","87.1","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
013","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Consulting Practicum","Course Total","103","3.879","83.5","10.7","4.9",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Current Topics: Bus Analytics","840
010","108","3.954","96.3","0.9",".","2.8",".",".",".",".",".",".",".",".",".",".",".","."
