"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","101
001","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","36","3.929","88.9","2.8","5.6",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Ballroom Dance I","Course Total","78","3.968","94.9","1.3","2.6",".",".",".",".","1.3",".",".",".",".",".",".",".","."
"Modern Jazz Dance","103
001","25","3.978","88.0","4.0",".",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Ballet I","105
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","106
001","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Dance I","107
001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Dance II","108
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
001","24","3.854","87.5","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","110
010","34","3.912","85.3","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
011","38","3.921","86.8","10.5","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","32","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
013","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","168","3.923","89.3","7.1","3.0",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"","112
001","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","112
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory II","Course Total","50","3.854","82.0","16.0",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","118
001","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance","Course Total","33","3.924","90.9","6.1",".","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","131
001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relax Techs for Stress Mgmt","133
001","43","3.854","88.4","2.3",".","2.3",".",".","2.3","2.3",".",".",".",".","2.3",".",".","."
"","135
001","38","3.816","86.8","5.3","2.6",".","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"","135
002","34","3.379","50.0","14.7","17.6",".","11.8",".","2.9","2.9",".",".",".",".",".",".",".","."
"","135
003","32","3.844","81.3","12.5","3.1",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","135
004","40","3.875","95.0",".","2.5",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"Pilates Mat I","Course Total","144","3.738","79.2","7.6","6.3",".","4.2","0.7","1.4","0.7",".",".",".",".",".",".",".","."
"Pilates Equipment I","136
001","14","3.808","64.3","21.4","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Dance Production","140
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","157
001","31","3.952","93.5","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","212
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Dance Tech & Th IV","Course Total","12","3.941","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Ballet Technique II-B","Course Total","25","4.000","96.0",".",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Intro:Dynamcs-Dance Therapy","232
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
