"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","281","3.111","22.4","23.1","23.8","19.6","8.9","1.1","0.7",".",".",".",".",".","0.4",".",".","."
"","103
002","105","2.967","12.4","23.8","27.6","22.9","10.5","2.9",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","386","3.071","19.7","23.3","24.9","20.5","9.3","1.6","0.5",".",".",".",".",".","0.3",".",".","."
"","104
001","262","3.031","19.8","20.2","22.1","22.5","14.5",".","0.4","0.4",".",".",".",".",".",".",".","."
"","104
002","212","3.200","28.3","21.2","26.9","13.2","9.0","0.9","0.5",".",".",".",".",".",".",".",".","."
"","104
003","117","3.081","20.5","23.9","25.6","16.2","12.0","0.9","0.9",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","591","3.102","23.0","21.3","24.5","17.9","12.0","0.5","0.5","0.2",".",".",".",".",".",".",".","."
"Physics of Sports","106
001","36","3.400","47.2","13.9","16.7","13.9","2.8","2.8",".",".",".",".",".",".","2.8",".",".","."
"Ideas of Modern Physics","107
001","33","3.862","84.8",".",".",".",".",".","3.0","12.1",".",".",".",".",".",".",".","."
"","109
001","144","3.535","41.0","38.9","11.8","4.9","1.4","0.7","0.7","0.7",".",".",".",".",".",".",".","."
"","109
002","101","3.530","48.5","27.7","12.9","5.9","2.0","1.0","1.0",".",".",".",".",".",".",".","1.0","."
"Physics in the Arts","Course Total","245","3.533","44.1","34.3","12.2","5.3","1.6","0.8","0.8","0.4",".",".",".",".",".",".","0.4","."
"","201
001","199","3.065","16.6","19.1","46.2","8.0","5.0","4.5","0.5",".",".",".",".",".",".",".",".","."
"","201
002","188","2.981","11.7","20.7","41.5","13.8","6.4","3.7","1.1",".",".",".",".",".","1.1",".",".","."
"General Physics","Course Total","387","3.025","14.2","19.9","43.9","10.9","5.7","4.1","0.8",".",".",".",".",".","0.5",".",".","."
"","202
001","68","3.052","29.4","17.6","16.2","13.2","17.6","4.4",".",".",".",".",".",".","1.5",".",".","."
"","202
002","246","2.970","21.5","19.5","17.1","23.2","14.6","4.1",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","314","2.987","23.2","19.1","16.9","21.0","15.3","4.1",".",".",".",".",".",".","0.3",".",".","."
"","207
001","86","3.151","25.6","24.4","25.6","15.1","4.7","3.5","1.2",".",".",".",".",".",".",".",".","."
"","207
002","79","3.101","25.3","17.7","34.2","12.7","3.8","5.1","1.3",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","165","3.127","25.5","21.2","29.7","13.9","4.2","4.2","1.2",".",".",".",".",".",".",".",".","."
"","208
001","145","3.014","22.8","17.2","25.5","17.2","13.1","2.1","1.4",".",".",".",".",".","0.7",".",".","."
"","208
002","139","3.022","18.0","23.7","25.9","16.5","12.2","3.6",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","284","3.018","20.4","20.4","25.7","16.9","12.7","2.8","0.7",".",".",".",".",".","0.4",".",".","."
"Intro-Solid State Electronics","235
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","45","3.533","66.7","8.9","4.4","13.3","4.4",".","2.2",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","247
001","24","3.646","54.2","25.0","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248
001","67","3.493","50.7","26.9","10.4","6.0","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265
001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
048","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics Today","301
001","39","3.919","87.2",".","7.7",".",".",".",".","5.1",".",".",".",".",".",".",".","."
"","307
001","13","3.625","38.5","38.5","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","307
002","13","3.115","23.1","30.8","15.4","23.1",".","7.7",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","26","3.360","30.8","34.6","15.4","11.5",".","3.8",".",".",".",".",".",".","3.8",".",".","."
"Mechanics","311
001","39","3.295","25.6","35.9","25.6","7.7","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","64","3.203","28.1","21.9","31.3","9.4","6.3","1.6","1.6",".",".",".",".",".",".",".",".","."
"Optics","325
001","27","3.615","48.1","29.6","14.8",".","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"Special Topics in Physics","406
001","11","3.750","63.6","9.1","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","407
001","11","3.550","27.3","45.5","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","407
002","9","3.444","44.4","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
