"INTEGRATED SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"503
INTEGSCI","","","","","","","","","","","","","","","","","","","",""
"Exploring Research in STEM
150","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Explrn Leadership Mentoring
230","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service with Youth in STEM
240","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"320","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"320","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Special Topics
375","003","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Service in STEM
640","001","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","12.5"
"College Science Teaching
650","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"660","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"660","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"660","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Mentor Training","Course Total","","6","",".",".",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".","."
"Independent Study
699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Science Teaching
850","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"503
INTEGSCI","Dept. Total","","76","3.965","68.4","2.6","1.3",".",".",".",".","18.4",".","6.6","1.3",".",".",".",".","1.3"
