"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","40","",".",".",".",".",".",".",".",".",".","97.5","2.5",".",".",".",".","."
"","301
001","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","301
002","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","33","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","303
001","17","3.059","35.3","17.6","11.8","5.9","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"","303
002","24","3.167","20.8","29.2","29.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Theory of Interest","Course Total","41","3.122","26.8","24.4","22.0","9.8","12.2","4.9",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","21","3.810","90.5",".",".",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","650
001","45","3.023","22.2","22.2","20.0","17.8","6.7","4.4","2.2",".",".",".",".",".","4.4",".",".","."
"Actuarial Mathematics II","651
001","19","3.412","31.6","26.3","15.8","15.8",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"Loss Models I","652
001","22","3.286","31.8","27.3","22.7",".","9.1","4.5",".",".",".",".",".",".","4.5",".",".","."
"Loss Models II","653
001","14","3.107","35.7",".","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"Health Analytics","655
001","18","3.389","44.4","22.2","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Risk Analytics","657
001","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"242
ACT SCI","Dept. Total","273","3.292","27.1","16.1","13.2","6.6","6.2","1.8","0.4","0.4",".","26.4","0.4",".","1.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","50.0",".",".",".",".",".","."
"Sophomore","","41","3.479","26.8","14.6","7.3","7.3","2.4",".",".",".",".","41.5",".",".",".",".",".","."
"Junior","","67","3.324","23.9","7.5","6.0","4.5","9.0",".",".",".",".","46.3","1.5",".","1.5",".",".","."
"Senior","","139","3.232","28.8","16.5","18.7","8.6","5.8","2.9","0.7",".",".","15.8",".",".","2.2",".",".","."
"Undergraduates","","249","3.272","26.9","13.7","13.3","7.2","6.0","2.0","0.4",".",".","28.5","0.4",".","1.6",".",".","."
"Special","","4","***","","","","","","","","","","25.0",".",".",".",".",".","."
"Graduate","","20","3.600","35.0","50.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","273","3.292","27.1","16.1","13.2","6.6","6.2","1.8","0.4","0.4",".","26.4","0.4",".","1.5",".",".","."
