"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Seminar-Algebra","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Topology","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"96","001","","17","2.412","17.6","17.6","17.6","5.9","17.6","5.9","17.6",".",".",".",".",".",".",".",".","."
"96","002","","20","2.275","25.0","5.0","15.0",".","30.0","5.0","20.0",".",".",".",".",".",".",".",".","."
"Preparatory Algebra","Course Total","","37","2.338","21.6","10.8","16.2","2.7","24.3","5.4","18.9",".",".",".",".",".",".",".",".","."
"967","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Number Theory","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Foundations of Math
975","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","151","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","156","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","159","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","164","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","175","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","176","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","178","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","180","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","181","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","186","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","190","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","199","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","","38","",".",".",".",".",".",".",".","78.9",".",".",".","21.1",".",".",".","."
