"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","139
001","13","3.654","84.6","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","139
002","15","3.667","73.3","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","139
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Belong, Explore, Become","Course Total","44","3.784","86.4","4.5","2.3","2.3","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"","145
001","322","3.931","94.7","1.9","1.2",".","0.6","0.3","0.6",".",".",".",".",".",".","0.3","0.3","."
"","145
002","303","3.894","89.1","4.0","2.6","1.7","0.3",".","0.7",".",".",".",".",".","1.3","0.3",".","."
"","145
003","201","3.860","89.1","4.0",".","0.5","2.5",".","1.5",".",".",".",".",".","0.5","2.0",".","."
"How to Succeed in College","Course Total","826","3.900","91.3","3.1","1.5","0.7","1.0","0.1","0.8",".",".",".",".",".","0.6","0.7","0.1","."
"","210
001","18","3.750","77.8","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","210
002","16","3.813","93.8",".",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","210
003","20","3.900","90.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","18","3.806","77.8","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","13","3.583","53.8","15.4","15.4",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"","210
007","20","3.725","85.0","5.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","210
008","21","3.905","90.5","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","210
009","19","3.632","78.9",".","10.5",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","210
010","19","3.684","78.9","5.3","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","210
011","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
012","19","3.763","78.9","10.5",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","210
013","19","3.529","63.2","5.3",".","5.3","15.8",".",".",".",".",".",".",".",".","10.5",".","."
"L&S Career Development","Course Total","238","3.774","81.1","7.1","2.9","2.9","2.9","1.3","0.4",".",".",".",".",".","0.4","0.8",".","."
"","215
001","149","3.846","85.2","8.1","3.4","1.3","0.7","0.7","0.7",".",".",".",".",".",".",".",".","."
"","215
002","15","3.833","66.7",".","13.3",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Communicating About Careers","Course Total","164","3.845","83.5","7.3","4.3","1.2","0.6","0.6","0.6",".",".",".",".",".","1.8",".",".","."
"","250
001","15","3.909","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","13","3.960","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","15","3.931","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","250
004","15","3.710","73.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","250
005","19","3.977","89.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","250
006","17","3.784","82.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","250
007","11","3.818","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","18","3.943","83.3","5.6","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","250
010","15","3.848","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","154","3.885","80.5","14.9","1.3",".","1.3",".",".",".",".",".",".",".","1.9",".",".","."
"Bradley Peer Mentor Course","257
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","260
001","36","3.847","88.9",".","5.6","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
