"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Qual Rsch Mthds-Educ: Field I
788","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Project or Thesis","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Ind. Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Research Methods
803","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Guidng&Directg-Sch Rdg Prog
805","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Goals,Content&Progm-Math Ed
810","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Prosmr-Amer Curric Theory
829","001","","6","3.833","33.3","16.7",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Fld-School Reading Programs
840","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supervisn-Teacher Education
860","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"How Games Change Us
914","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","003","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"975","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"General Seminar","Course Total","","44","3.988","95.5","2.3",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"990","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","","Page 90 of 476"
