"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","661
003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Information Ethics and Policy","Course Total","","21","3.700","71.4","19.0",".",".",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"","663
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","663
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Cyberlaw","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","668
001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","668
002","","10","3.500","50.0","10.0",".","10.0","10.0",".",".","10.0",".",".",".",".","10.0",".",".","."
"Dig Curation and Collections","Course Total","","23","3.762","69.6","13.0",".","4.3","4.3",".",".","4.3",".",".",".",".","4.3",".",".","."
"","678
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","678
002","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Preserv/Conserv-Lib Matls","Course Total","","24","3.935","83.3","12.5",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","705
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","705
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","705
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","705
004","","33","3.848","72.7","24.2","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Analytics","Course Total","","42","3.813","61.9","31.0","2.4",".",".",".",".","2.4",".",".",".",".","2.4",".",".","."
"","722
001","","17","3.967","82.4","5.9",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"","722
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College & Univ Libraries","Course Total","","24","3.977","87.5","4.2",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Database Dsgn-Info Prof","751
001","","33","3.682","57.6","27.3","12.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","768
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","768
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Humanities Analytics","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","772
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Research Methods","803
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Archive Accessioning&Appraisal","818
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
002","","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","855
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
005","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","47","3.780","74.5","19.1","4.3",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Resrch Dsgn & Methodolgy-LIS","910
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PWR Seminar","925
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","990
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","999
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
