"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","132","3.875","85.6","6.8","5.3","1.5","0.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Industrial Statistics","210","001","37","3.770","78.4","8.1","10.8",".",".","2.7",".",".",".",".",".",".",".",".",".","."
"Data Mgmt & Analys for Ind Eng","312","001","58","3.746","67.2","17.2","10.3","1.7","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"Engineerng Economc Analysis","313","001","62","3.629","46.8","32.3","21.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","64","3.461","50.0","20.3","18.8","3.1","4.7","1.6","1.6",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","45","3.678","48.9","40.0","8.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","20","3.700","60.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","45","3.678","48.9","40.0","8.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","56","3.205","21.4","26.8","30.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","348","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","","Course Total","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","67","3.970","94.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design I","350","001","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","412","001","55","3.806","78.2","9.1","5.5","3.6","1.8",".",".",".",".",".",".",".","1.8",".",".","."
"Intro-Manufac Sys,Dsgn&Analys","415","001","16","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","56","3.857","80.4","10.7","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design II","450","001","61","3.933","88.5","6.6","3.3",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Intro Ind Egr Research","468","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","30","3.350","26.7","36.7","23.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","524","001","33","3.500","36.4","39.4","15.2","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","524","003","14","3.423","42.9","14.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".","7.1",".","."
"Introduction to Optimization","","Course Total","47","3.478","38.3","31.9","17.0","6.4","4.3",".",".",".",".",".",".",".",".","2.1",".","."
"Linear Optimization","525","001","8","3.000","25.0","12.5","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Data Sci and ML","562","001","51","3.765","68.6","19.6","9.8",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Meths-Risk Analys Nuc Pwr Plnt","574","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Engr Anlytcs and OR","603","001","34","3.706","61.8","20.6","14.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","604","001","25","3.760","80.0","8.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"","604","002","31","3.565","45.2","29.0","22.6",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"","604","003","41","3.634","46.3","34.1","19.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","604","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Manufacturing","","Course Total","98","3.644","54.1","25.5","17.3",".","1.0","1.0",".","1.0",".",".",".",".",".",".",".","."
"Production Systems Control","615","003","29","3.914","89.7","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620","001","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
