"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"Current Topics-Ed Psych","Course Total","","95","3.963","92.6","6.3",".",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"Ed Psych Diversity Seminar","712
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolescent Development","721
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design of Single-Case Research","743
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Design/Manage Learning Env","745
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
002","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","","54","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Analys","773
001","","25","3.958","88.0","8.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Research Methods","803
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
006","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
010","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
012","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","","65","3.970","98.5",".","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr in Prevention Sci","881
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sysms-Consltn in Schl Psych","942
001","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","943
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","943
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","Course Total","","13","3.959","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assess&Interven Techniques","946
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence-based Chld Psychother","947
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hierarchical Linear Modeling","964
001","","27","3.932","70.4","11.1",".",".",".",".",".","7.4",".",".",".",".","11.1",".",".","."
"","990
002","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
