"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","18","3.583","55.6","22.2","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","101
002","20","3.789","70.0","20.0",".",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","101
003","13","3.462","38.5","38.5","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","101
004","22","3.727","72.7","18.2","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","101
005","14","3.464","42.9","42.9",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","87","3.628","58.6","26.4","4.6","3.4","3.4","2.3",".","1.1",".",".",".",".",".",".",".","."
"","102
001","26","3.596","57.7","23.1","3.8","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","102
002","21","3.524","57.1","23.8","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","102
003","23","3.565","60.9","17.4","4.3","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","102
004","20","3.525","45.0","30.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","90","3.556","55.6","23.3","7.8","7.8","4.4",".","1.1",".",".",".",".",".",".",".",".","."
"","203
001","9","2.625",".","11.1","22.2","33.3","22.2",".",".","11.1",".",".",".",".",".",".",".","."
"","203
002","14","3.321","28.6","50.0","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","203
003","15","3.571","60.0","6.7","13.3","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","38","3.264","34.2","23.7","15.8","10.5","7.9",".","2.6","5.3",".",".",".",".",".",".",".","."
"","204
001","18","3.706","66.7","16.7",".","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","204
002","17","3.441","58.8","5.9","17.6","11.8",".","5.9",".",".",".",".",".",".",".",".",".","."
"","204
003","17","3.853","88.2","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","52","3.667","71.2","9.6","5.8","5.8","3.8","1.9",".","1.9",".",".",".",".",".",".",".","."
"","211
001","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
011","101","3.703","67.3","18.8","6.9","5.0","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"","211
012","52","3.570","51.9","30.8","1.9","5.8","3.8",".","1.9","3.8",".",".",".",".",".",".",".","."
"French Lit & Interdis Studies","Course Total","183","3.682","61.7","24.6","5.5","4.4","1.6",".","1.1","1.1",".",".",".",".",".",".",".","."
"","228
001","21","3.190","52.4","19.0",".","9.5","9.5",".","9.5",".",".",".",".",".",".",".",".","."
"","228
002","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","68","3.706","77.9","11.8","1.5","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"","271
001","13","3.154","46.2","15.4","7.7","15.4",".","15.4",".",".",".",".",".",".",".",".",".","."
"","271
002","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","13","3.269","61.5","15.4",".","7.7",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"Lit Comics & Film in French","Course Total","41","3.463","65.9","12.2","4.9","7.3",".","7.3","2.4",".",".",".",".",".",".",".",".","."
"","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Advanced Writing Workshop","312
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comtemp Iss-Gov,Org&Enterprise","314
001","30","3.914","80.0","16.7",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","316
00A","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","316
00B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad: Adv French Lang","Course Total","5","***","","","","","","","","","","","","","","","",""
"Medievl, Renais&Early Mod Lit","321
001","26","3.808","65.4","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
