"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","27","3.333","25.9","29.6","29.6","14.8",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","20","3.450","45.0","15.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","170
003","27","3.315","37.0","14.8","37.0","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","74","3.358","35.1","20.3","32.4","8.1","2.7","1.4",".",".",".",".",".",".",".",".",".","."
"Intro to Mech Eng","201
001","170","3.635","52.4","28.8","14.7","1.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"Geometric Modeling","231
001","230","3.896","92.2","3.9","1.7","0.4",".","0.9","0.9",".",".",".",".",".",".",".",".","."
"Dynamics","240
001","109","3.271","20.2","38.5","25.7","10.1","3.7","1.8",".",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","16","3.956","75.0","6.3",".",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
109","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","81","3.093","28.4","22.2","19.8","13.6","8.6","7.4",".",".",".",".",".",".",".",".",".","."
"","306
003","77","3.091","26.0","14.3","29.9","16.9","10.4","2.6",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","158","3.092","27.2","18.4","24.7","15.2","9.5","5.1",".",".",".",".",".",".",".",".",".","."
"","307
003","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
009","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
010","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
011","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
015","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
016","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","128","3.801","64.1","32.0","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing: Polymers","310
001","132","3.145","17.4","18.9","40.9","18.9","3.0",".",".",".",".",".",".",".","0.8",".",".","."
"Manufac: Metals and Automation","311
001","142","3.771","72.5","14.1","9.9","2.1","1.4",".",".",".",".",".",".",".",".",".",".","."
"Computer-Aided Engineering","331
001","112","3.509","43.8","26.8","21.4","7.1",".",".","0.9",".",".",".",".",".",".",".",".","."
"Dynamic Systems","340
001","101","3.277","38.6","19.8","20.8","9.9","6.9","3.0","1.0",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","134","3.112","21.6","26.9","21.6","16.4","11.9","0.7","0.7",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","351
001","82","3.921","85.4","13.4","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","352
001","166","3.843","77.7","16.3","3.6","1.8","0.6",".",".",".",".",".",".",".",".",".",".","."
"","361
001","48","3.479","37.5","43.8","8.3","2.1","6.3","2.1",".",".",".",".",".",".",".",".",".","."
"","361
002","58","3.422","39.7","31.0","13.8","5.2","10.3",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 147 of 476",""
