"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","215","001","","55","3.182","18.2","32.7","27.3","10.9","10.9",".",".",".",".",".",".",".",".",".",".","."
"Climate Change Econ & Policy","246","001","","62","3.608","58.1","16.1","17.7","1.6","1.6",".","1.6","1.6",".",".",".",".","1.6",".",".","."
"The Real Estate Process","306","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Commodity Markets","322","001","","38","2.842","26.3","13.2","15.8","18.4","18.4","2.6","5.3",".",".",".",".",".",".",".",".","."
"Cooperatives","323","001","","18","3.563","38.9","22.2","27.8",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","","12","2.958","16.7","33.3","8.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","","78","3.526","37.2","42.3","11.5","5.1","1.3","1.3",".",".",".",".",".",".","1.3",".",".","."
"Intro to Organic Agriculture","367","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374","001","","22","3.295","31.8","31.8","27.3",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Special Topics","375","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Agricultural Finance","419","001","","42","3.476","38.1","40.5","14.3","2.4","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462","001","","14","3.179","42.9","7.1","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","21","3.800","71.4","14.3","4.8","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"Agri & Econ Development-Africa","477","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Experience","500","001","","40","3.900","97.5",".",".",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl. Econometric Analysis II","637","001","","31","3.550","45.2","22.6","22.6","6.5",".",".",".","3.2",".",".",".",".",".",".",".","."
"Fndtns Development Economics","642","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Fndtns Environ/Resource Econ","643","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","699","108","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Applied Risk Analysis","706","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Business Economics","719","001","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm of Applied Econ Anly","721","001","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract for Applied Economists","724","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium","780","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory&Political Analysis","835","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","088","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
