"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Cultural Diversity of Families
174","001","","54","3.630","68.5","11.1","11.1","3.7","3.7",".","1.9",".",".",".",".",".",".",".",".","."
"HDFS Leadership Symposium
253","001","","125","3.669","67.2","17.6","8.0","1.6","2.4","0.8","1.6",".",".",".",".",".","0.8",".",".","."
"362","003","","218","3.655","62.8","18.8","11.0","3.7","0.9","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"362","103","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Development of Young Child","Course Total","","225","3.661","63.1","19.1","10.7","3.6","0.9","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"363","003","","229","3.825","81.7","7.9","6.1","2.6","1.7",".",".",".",".",".",".",".",".",".",".","."
"363","103","","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","Course Total","","235","3.811","80.4","8.1","6.8","2.6","2.1",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St
425","001","","39","3.923","92.3","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child
469","001","","39","3.679","74.4","12.8",".","5.1","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"474","001","","38","3.608","63.2","15.8","7.9","2.6","5.3","2.6",".",".",".",".",".",".","2.6",".",".","."
"474","002","","38","3.842","78.9","13.2","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","","76","3.727","71.1","14.5","6.6","2.6","2.6","1.3",".",".",".",".",".",".","1.3",".",".","."
"501","001","","33","3.909","87.9","9.1",".","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","29","3.879","82.8","10.3","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","75","3.902","88.0","8.0","2.7","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Resilience
516","001","","37","3.554","51.4","27.0","13.5","2.7","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"Couple Relationships
517","001","","50","3.910","92.0","2.0","2.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Research Experience in HDFS
592","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship
601","002","","42","3.964","95.2","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs
650","001","","34","3.894","79.4","14.7","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Developmental & Fam Assessment
663","001","","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis
680","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Childhood and the Family
761","001","","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","22","",".",".",".",".",".",".",".","81.8",".",".",".","18.2",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 159 of 476",""
