"","999
131","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
135","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
139","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Reading for PhD Prelims","Course Total","13","4.000","84.6",".",".",".",".",".",".","7.7",".",".","",".","7.7",".",".",".","."
"352
ENGL","Dept. Total","4370","3.758","73.9","12.1","5.6","1.6","1.4","0.6","1.2","0.9","0.0","0.9","",".","1.0","0.7","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","694","3.670","72.2","11.8","7.1","3.0","2.3","1.0","1.9",".",".",".","",".",".","0.7",".",".","."
"Sophomore","","1208","3.780","77.6","13.2","4.4","1.7","1.0","0.7","1.1",".",".",".","",".",".","0.4",".",".","."
"Junior","","1064","3.783","76.3","12.0","6.2","1.4","1.1","0.4","0.9",".",".","0.6","",".",".","0.9","0.1",".","."
"Senior","","1062","3.752","74.7","12.9","5.4","1.1","1.7","0.7","1.3",".",".","2.0","",".",".","0.3",".",".","."
"Undergraduates","","4028","3.755","75.6","12.6","5.6","1.7","1.4","0.6","1.2",".",".","0.7","",".",".","0.6","0.0",".","."
"Special","","85","3.426","38.8","17.6","20.0","4.7","4.7",".","1.2","4.7",".","2.4","",".",".","2.4",".","3.5","."
"Graduate","","257","3.961","58.8","3.1","0.4",".","0.4",".",".","13.2","0.4","4.7","",".","16.3","2.7",".",".","."
"","Dept. Total","4370","3.758","73.9","12.1","5.6","1.6","1.4","0.6","1.2","0.9","0.0","0.9","",".","1.0","0.7","0.0","0.1","."
