"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PL PATH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","43","3.579","65.1","11.6","14.0","7.0","2.3",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","36","3.592","72.2","8.3","8.3","5.6","2.8","2.8","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","71","3.649","56.3","19.7","14.1","2.8","2.8",".","",".",".","",".",".","",".",".","4.2",".",".","."
"Undergraduates","","153","3.610","62.1","15.0","12.4","4.6","3.3","0.7","",".",".","",".",".","",".",".","2.0",".",".","."
"Special","","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","60","3.600","18.3","10.0","3.3","1.7",".",".","",".","43.3","",".",".","",".","23.3",".",".",".","."
"","Dept. Total","217","3.615","49.8","13.4","9.7","3.7","2.3","0.5","",".","12.9","",".",".","",".","6.5","1.4",".",".","."
