"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"COMP LIT","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","","14","3.571","71.4","14.3","7.1",".",".",".","7.1",".","",".",".","",".",".",".",".",".","."
"Senior","","","29","3.542","37.9","27.6","6.9","6.9","3.4",".",".",".","",".",".","",".",".","17.2",".",".","."
"Undergraduates","","","48","3.407","43.8","22.9","10.4","4.2","2.1","4.2","2.1",".","",".",".","",".",".","10.4",".",".","."
"Special","","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","","7","3.900","57.1","14.3",".",".",".",".",".",".","",".",".","",".","14.3","14.3",".",".","."
"","Dept. Total","","56","3.458","44.6","21.4","8.9","3.6","1.8","3.6","1.8","1.8","",".",".","",".","1.8","10.7",".",".","."
