"Intro Cross-Cultrl Lit Form","203
002","","18","3.556","27.8","61.1","5.6","5.6","",".","",".","",".",".","",".","",".",".","",".",".","",".",".","."
"Prog in Comp Lit & Cultures","750
001","","5","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","990
022","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"COMP LIT
260","Dept. Total","","24","3.652","41.7","45.8","4.2","4.2","",".","",".","",".","",".","",".",".","",".","4.2","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","","5","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","","7","3.643","42.9","42.9","14.3",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","","2","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Undergraduates","","","18","3.556","27.8","61.1","5.6","5.6","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","6","4.000","83.3",".",".",".","",".","",".","",".","",".","",".",".","",".","16.7","",".",".",".","."
"","Dept. Total","","24","3.652","41.7","45.8","4.2","4.2","",".","",".","",".","",".","",".",".","",".","4.2","",".",".",".","."
