"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","","18","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"Actuarial Science Methods II","301
001","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","303
001","","26","3.260","26.9","23.1","26.9","11.5","7.7",".",".",".",".",".",".",".","3.8",".",".","."
"","303
002","","23","3.152","34.8","17.4","17.4","13.0","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Theory of Interest","Course Total","","49","3.208","30.6","20.4","22.4","12.2","10.2","2.0",".",".",".",".",".",".","2.0",".",".","."
"Reading and Research","399
070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","650
001","","33","2.924","30.3","24.2","12.1","15.2","6.1",".","12.1",".",".",".",".",".",".",".",".","."
"","002
650","","43","3.256","25.6","23.3","37.2","9.3","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","Course Total","","76","3.112","27.6","23.7","26.3","11.8","3.9","1.3","5.3",".",".",".",".",".",".",".",".","."
"","652
001","","29","2.948","27.6","10.3","27.6","20.7","6.9",".","6.9",".",".",".",".",".",".",".",".","."
"","002
652","","12","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Loss Models I","Course Total","","41","3.061","29.3","12.2","29.3","19.5","4.9",".","4.9",".",".",".",".",".",".",".",".","."
"Loss Models II","653
001","","20","3.400","35.0","25.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","","22","3.182","18.2","36.4","27.3","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","267","3.161","22.5","17.2","20.2","10.5","4.1","1.1","2.2",".",".","21.3","0.4",".","0.4",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","46","2.979","13.0","4.3","17.4","6.5","8.7","2.2",".",".",".","47.8",".",".",".",".",".","."
"Junior","","","50","3.364","26.0","14.0","10.0","14.0","2.0",".",".",".",".","34.0",".",".",".",".",".","."
"Senior","","","149","3.194","25.5","22.1","25.5","9.4","3.4","1.3","2.7",".",".","8.7","0.7",".","0.7",".",".","."
"Undergraduates","","","245","3.196","23.3","17.1","20.8","9.8","4.1","1.2","1.6",".",".","21.2","0.4",".","0.4",".",".","."
"Special","","","21","2.750","14.3","19.0","9.5","19.0","4.8",".","9.5",".",".","23.8",".",".",".",".",".","."
"Graduate","","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","","267","3.161","22.5","17.2","20.2","10.5","4.1","1.1","2.2",".",".","21.3","0.4",".","0.4",".",".","."
