"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
044","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
045","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
046","13","3.538","30.8","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
048","13","3.154","30.8","30.8","23.1",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","100
050","12","3.417","25.0","50.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
051","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
052","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
053","12","3.667","66.7","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
054","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
055","12","3.208","33.3","16.7","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","100
056","13","3.692","69.2","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","057
100","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
058","13","3.654","53.8","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","059
100","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
060","13","3.154","46.2","15.4","7.7","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","100
061","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
062","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","063
100","12","3.273","33.3","33.3","8.3",".","8.3","8.3",".",".",".",".",".",".","8.3",".",".","."
"","064
100","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
065","13","3.538","23.1","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
066","13","3.000","30.8","38.5","7.7","7.7",".",".","15.4",".",".",".",".",".",".",".",".","."
"","100
067","13","3.423","15.4","69.2","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
068","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
069","13","3.500","30.8","46.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","070
100","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
071","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","870","3.604","54.5","28.5","10.2","3.1","1.7","0.3","1.5",".",".",".",".",".","0.1",".",".","."
"Intro-Digital Media Production","155
001","146","3.700","68.5","21.9","3.4","0.7","2.1","0.7","2.1",".",".",".",".",".","0.7",".",".","."
"Elements of Speech-Honors","181
001","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200
001","119","3.634","64.7","20.2","5.0","5.9","1.7","0.8","1.7",".",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250
001","228","3.042","13.6","22.4","40.4","14.0","5.7","1.3","1.8",".",".",".",".",".","0.9",".",".","."
"","260
001","237","3.712","72.6","11.4","8.4","2.5","2.1","0.4","1.3",".",".",".",".",".",".",".","1.3","."
"","260
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Communication & Human Behav","Course Total","240","3.709","72.5","11.3","8.3","2.9","2.1","0.4","1.3",".",".",".",".",".",".",".","1.3","."
"Thry&Pract-Argument&Debate","262
001","96","3.712","71.9","14.6","3.1","3.1",".",".","3.1",".",".",".",".",".","2.1","2.1",".","."
"Intro-Interpersonal Com","272
001","141","3.112","22.7","33.3","14.2","13.5","5.0","2.1","4.3",".",".",".",".",".","5.0",".",".","."
"Directed Study","298
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
001","17","3.647","58.8","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","51","3.314","41.2","25.5","11.8","9.8","7.8","2.0","2.0",".",".",".",".",".",".",".",".","."
"","310
004","30","3.567","83.3",".","3.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Topics: Rhetoric & Com Science","Course Total","98","3.449","57.1","16.3","10.2","6.1","6.1","1.0","3.1",".",".",".",".",".",".",".",".","."
"Topics: Film and Media Studies","313
001","37","3.806","75.7","10.8","8.1",".","2.7",".",".",".",".",".",".",".",".",".","2.7","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 212 of 464",""
