"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"323
002
Art in Elementary Education","","10","3.350","40.0","10.0","30.0","20.0","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"324
001
Art in Secondary Education","","10","3.650","60.0","20.0","10.0","10.0","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"423
001
Stdt Tchg-Elem School Art","","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"424
001","","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"424
002","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Stdt Tchg-Secondary Sch Art","","3","***","","","","","","","","","","","","","","","","","","","","","","","",""
"470
001
Practicum in Elem School Art","","10","3.750","60.0","30.0","10.0",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"493
001
Practicum-Secondary School Art","","10","4.000","100.0",".",".",".","",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"ART ED
Dept. Total
176","","46","3.719","67.4","13.0","13.0","6.5","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","33","3.711","63.6","18.2","12.1","6.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","33","3.711","63.6","18.2","12.1","6.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","13","3.744","76.9",".","15.4","7.7","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","46","3.719","67.4","13.0","13.0","6.5","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
