"","999
002","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
006","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
007","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"ECON
296","Dept. Total","5691","3.264","31.6","24.5","22.9","11.8","5.3","1.3","0.7","0.6","",".","0.1","",".","0.1","0.8","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1146","3.125","19.5","25.7","28.8","16.4","6.5","1.3","0.7",".","",".",".","",".",".","1.0","0.1",".","."
"Sophomore","","1263","3.251","30.6","25.9","20.9","12.9","6.2","2.1","0.6",".","",".",".","",".",".","0.7","0.1",".","."
"Junior","","1171","3.159","25.3","24.5","23.5","15.9","6.2","2.0","1.1",".","",".",".","",".",".","1.1","0.1","0.3","."
"Senior","","1163","3.277","33.0","21.2","25.0","10.9","6.0","0.8","0.9","0.1","",".","0.4","",".","0.3","1.1","0.1","0.1","."
"Undergraduates","","4743","3.203","27.2","24.4","24.5","14.0","6.2","1.6","0.8","0.0","",".","0.1","",".","0.1","1.0","0.1","0.1","."
"Special","","51","3.577","51.0","19.6","7.8","3.9","3.9","2.0",".","3.9","",".",".","",".",".",".","2.0","3.9","2.0"
"Graduate","","897","3.678","53.7","25.5","15.8","0.8","0.2",".",".","3.6","",".",".","",".","0.1","0.1","0.1",".","."
"","Dept. Total","5691","3.264","31.6","24.5","22.9","11.8","5.3","1.3","0.7","0.6","",".","0.1","",".","0.1","0.8","0.1","0.1","0.0"
