"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","163","3.468","36.2","28.2","11.7","6.1","3.1",".","1.2","13.5",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","140","3.621","68.6","20.7","2.9","0.7","1.4","2.1","3.6",".",".",".",".",".",".",".",".","."
"Intro-E Asian History:China","103","001","35","3.483","42.9","22.9","2.9","5.7","5.7","2.9",".","17.1",".",".",".",".",".",".",".","."
"Hist:The Univ in the West","107","001","10","3.188","30.0","20.0",".","10.0","20.0",".",".",".",".",".",".",".","10.0","10.0",".","."
"Intro to US History","109","001","142","3.345","54.9","15.5","7.0","8.5","8.5","1.4","4.2",".",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","99","3.144","8.1","35.4","33.3","6.1","1.0","3.0","1.0","11.1",".",".",".",".","1.0",".",".","."
"Medieval Europe 410-1500","115","001","75","3.415","29.3","33.3","13.3","6.7","1.3","2.7",".",".",".",".",".",".",".",".","13.3","."
"Europe & the World, 1400-1815","119","001","68","3.220","39.7","16.2","7.4","4.4","11.8","7.4",".","7.4",".",".",".",".","5.9",".",".","."
"Europe&Mod World 1815-On","120","001","82","3.805","54.9","18.3","2.4","2.4",".",".",".","19.5",".",".",".",".","2.4",".",".","."
"Green Screen","125","001","44","3.365","15.9","18.2","20.5","2.3","2.3",".",".","40.9",".",".",".",".",".",".",".","."
"Intro to World History","130","001","195","3.339","56.9","14.4","7.7","2.1","4.1","4.1","6.2","2.1",".",".",".",".","2.6",".",".","."
"Sport, Rec., & Society in U.S.","136","001","212","3.760","67.0","21.2","6.1","0.9","0.9","0.5","0.5","2.4",".",".",".",".","0.5",".",".","."
"Intro to Modern Middle East","139","001","78","3.739","53.8","24.4","3.8","2.6","1.3",".",".",".",".",".",".",".",".",".","11.5","2.6"
"America and China, 1776-Today","145","001","49","3.317","38.8","14.3","18.4","6.1",".","2.0","4.1","16.3",".",".",".",".",".",".",".","."
"","200","002","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","006","13","3.577","53.8","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","200","007","17","3.563","17.6","70.6","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","200","008","14","3.679","50.0","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","63","3.694","52.4","36.5","6.3","1.6","1.6",".",".",".",".",".",".",".","1.6",".",".","."
"","201","001","13","3.500","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","002","37","3.147","10.8","21.6","43.2","16.2",".",".",".",".",".",".",".",".","5.4",".",".","2.7"
"","201","003","16","3.625","68.8","12.5","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","201","004","15","3.167","33.3","6.7","33.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","201","005","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","006","11","3.045","36.4","27.3","9.1",".","9.1","18.2",".",".",".",".",".",".",".",".",".","."
"","201","007","21","3.450","57.1","14.3","9.5","4.8","4.8",".","4.8",".",".",".",".",".","4.8",".",".","."
"","201","008","45","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","009","12","3.750","83.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","201","010","15","3.679","80.0","6.7",".",".",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"","201","011","12","3.864","75.0","8.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"The Historian's Craft","","Course Total","210","3.496","47.6","22.9","17.1","4.3","3.3","1.0","1.0",".",".",".",".",".","2.4",".",".","0.5"
"The American Jewish Experience","219","001","46","3.659","45.7","26.1","17.4",".",".",".",".","10.9",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","25","3.600","72.0",".",".",".",".",".","8.0","20.0",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","22","3.833","77.3","13.6",".",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"American Legal History to 1860","261","001","17","3.125","5.9","35.3","35.3","11.8","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Dimensions-Material Culture","264","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBT History","275","001","14","3.458","57.1","7.1","14.3",".",".",".","7.1",".",".",".",".",".","14.3",".",".","."
"Africa: Introductory Survey","277","001","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africans in Americas 1492-1808","278","001","47","3.656","44.7","40.4","6.4","4.3",".",".",".","2.1",".",".",".",".","2.1",".",".","."
"History at Work","300","001","13","3.000","53.8","7.7","7.7",".",".","15.4","7.7",".",".",".",".",".","7.7",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 261 of 464",""
