"MATHEMATICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Linear Algebra","Course Total","","65","3.198","41.5","15.4","16.9","7.7","7.7","4.6","3.1",".",".",".",".",".","1.5","1.5",".","."
"Multi-Var Calc & Linear Alg","375
001","","43","3.417","55.8","14.0","11.6","7.0","2.3","4.7","2.3","2.3",".",".",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","415
001","","32","3.688","65.6","25.0","6.3",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"","421
001","","22","3.091","36.4","18.2","22.7",".","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"","421
002","","29","3.431","37.9","20.7","34.5","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"","421
004","","36","3.414","41.7","25.0","13.9","11.1","2.8","2.8",".",".",".",".",".",".","2.8",".",".","."
"Theory of Single Variable Calc","Course Total","","87","3.337","39.1","21.8","23.0","5.7","5.7","2.3","1.1",".",".",".",".",".","1.1",".",".","."
"Intro-Combinatrl Optimizatn","425
001","","20","3.200","40.0","5.0","30.0","5.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","431
001","","18","3.222","50.0","11.1","11.1","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","431
002","","24","3.000","41.7","8.3","20.8",".","4.2","8.3","8.3",".",".",".",".",".","8.3",".",".","."
"","003
431","","30","3.179","33.3","10.0","33.3","3.3","10.0",".","3.3",".",".",".",".",".","6.7",".",".","."
"","431
004","","27","3.259","29.6","14.8","40.7","7.4","7.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","","99","3.168","37.4","11.1","28.3","5.1","8.1","2.0","4.0",".",".",".",".",".","4.0",".",".","."
"Introduction to Cryptography","435
001","","20","3.400","40.0","20.0","35.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443
001","","27","3.352","37.0","25.9","25.9","7.4",".",".","3.7",".",".",".",".",".",".",".",".","."
"Introduction to Number Theory","467
001","","57","3.813","71.9","19.3","3.5","3.5",".",".",".","1.8",".",".",".",".",".",".",".","."
"","475
001","","10","3.250","30.0","10.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","475
002","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","475
003","","11","3.273","45.5","27.3",".","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","","28","3.286","39.3","17.9","25.0","3.6","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"","514
001","","18","2.941","33.3","5.6","27.8","5.6","11.1","5.6","5.6","5.6",".",".",".",".",".",".",".","."
"","514
002","","22","3.205","40.9","13.6","22.7","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","Course Total","","40","3.090","37.5","10.0","25.0","7.5","7.5","7.5","2.5","2.5",".",".",".",".",".",".",".","."
"","001
521","","26","2.981","26.9","11.5","19.2","23.1","15.4","3.8",".",".",".",".",".",".",".",".",".","."
"","521
002","","23","3.087","39.1","4.3","26.1","13.0","8.7","8.7",".",".",".",".",".",".",".",".",".","."
"","521
003","","28","3.296","50.0","3.6","17.9","17.9","3.6",".","3.6","3.6",".",".",".",".",".",".",".","."
"","521
004","","16","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Analysis I","Course Total","","93","3.212","45.2","5.4","19.4","15.1","9.7","3.2","1.1","1.1",".",".",".",".",".",".",".","."
"","522
001","","22","3.023","18.2","22.7","36.4","9.1","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","003
522","","19","3.806","63.2","26.3","5.3",".",".",".",".",".","5.3",".",".",".",".",".",".","."
"Analysis II","Course Total","","41","3.375","39.0","24.4","22.0","4.9","4.9",".","2.4",".","2.4",".",".",".",".",".",".","."
"Linear Optimization","525
001","","32","2.906","25.0","18.8","12.5","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".","."
"Math Methods in Data Science","001
535","","47","3.872","78.7","17.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","541
001","","22","3.350","50.0","9.1","4.5","9.1","18.2",".",".",".",".",".",".",".","9.1",".",".","."
"","541
002","","13","3.500","53.8","15.4","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".","7.7"
"","003
541","","26","3.063","23.1","19.2","19.2","7.7","23.1",".",".",".",".",".",".",".","3.8",".",".","3.8"
"Modern Algebra","Course Total","","61","3.259","39.3","14.8","11.5","6.6","19.7",".",".",".",".",".",".",".","4.9",".",".","3.3"
"Modern Algebra","001
542","","33","3.288","27.3","27.3","27.3","12.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"Elementary Topology","551
001","","28","3.161","39.3","10.7","25.0","7.1","10.7","7.1",".",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571
001","","14","2.923","28.6","21.4","14.3","7.1","7.1","7.1","7.1",".",".",".",".",".",".","7.1",".","."
