"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Media & Human Behavior","325","001","75","3.405","37.3","24.0","30.7","2.7","1.3","1.3","1.3",".",".",".",".",".","1.3",".",".","."
"Online Comm & Personal Rltnshp","345","001","99","3.253","25.3","36.4","21.2","12.1","1.0","1.0","3.0",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","100","3.152","18.0","42.0","22.0","8.0","2.0","3.0","4.0",".",".",".",".",".","1.0",".",".","."
"Introduction to Film","350","001","177","3.441","28.2","45.2","20.9","3.4","0.6","0.6","1.1",".",".",".",".",".",".",".",".","."
"Television Industries","351","001","155","3.069","11.0","29.7","37.4","11.0","7.1","1.3","1.3",".",".",".",".",".",".",".","1.3","."
"Film Genres","354","001","29","3.150","10.3","34.5","17.2",".",".","3.4","3.4",".",".",".",".",".","6.9",".","24.1","."
"Intro to Media Production","355","001","140","3.432","25.0","53.6","15.7","2.9","0.7",".","2.1",".",".",".",".",".",".",".",".","."
"Sports Media","359","001","44","3.114","11.4","40.9","25.0","9.1","11.4","2.3",".",".",".",".",".",".",".",".",".","."
"Rhetoric, Politics, Culture","360","001","78","3.327","32.1","39.7","7.7","12.8","5.1",".","2.6",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","66","3.063","16.7","31.8","16.7","13.6","13.6","3.0",".",".",".",".",".",".",".","4.5",".","."
"Thry&Practice of Persuasion","368","001","103","3.347","36.9","23.3","14.6","13.6","5.8",".","1.0",".",".",".",".",".","3.9",".","1.0","."
"Great Speakers and Speeches","370","001","95","3.742","66.3","23.2","7.4","1.1","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"Ethics of Entertainment Media","375","001","24","3.625","58.3","33.3","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Topics in Digital Studies","377","001","57","3.411","24.6","47.4","15.8","5.3","5.3",".",".",".","1.8",".",".",".",".",".",".","."
"Asian Americans and Media","420","001","31","3.200","35.5","29.0","12.9","3.2","9.7",".","6.5","3.2",".",".",".",".",".",".",".","."
"Avant-Garde Film","463","001","13","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","001","15","3.500","13.3","80.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","15","3.536","26.7","46.7","20.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","30","3.517","20.0","63.3","10.0","3.3",".",".",".",".",".",".",".",".","3.3",".",".","."
"","466","001","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","466","002","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","","Course Total","30","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","467","001","14","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","467","002","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","","Course Total","29","3.517","34.5","34.5","31.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Hollywood Cinema","552","001","64","3.163","17.2","17.2","25.0","14.1","1.6",".","1.6","23.4",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","20","3.684","55.0","20.0","20.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Digital Studies Capstone","605","001","81","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Spec Tpcs:Media & Cultural St","608","001","22","3.568","54.5","18.2","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","609","001","14","3.500","42.9","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","610","001","10","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Communicatn Science","612","001","12","3.773","66.7","16.7",".","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Field Exper in Communicatn","614","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","615","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","616","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","616","002","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","","Course Total","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Video Productn&Directn","651","001","14","3.462","35.7","28.6","21.4",".","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 213 of 464",""
