"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","112","2.640","17.0","9.8","28.6","9.8","20.5","8.0","5.4",".",".",".",".",".",".",".","0.9","."
"","002
101","118","2.616","15.3","11.0","22.9","11.9","25.4","8.5","3.4",".",".",".",".",".","1.7",".",".","."
"Animal Biology","Course Total","230","2.628","16.1","10.4","25.7","10.9","23.0","8.3","4.3",".",".",".",".",".","0.9",".","0.4","."
"","102
001","10","2.850","20.0","40.0","10.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"","102
002","13","3.077","15.4","15.4","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","8","2.500","12.5","12.5",".","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"","004
102","7","2.929","14.3","14.3","42.9",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","102
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
007","11","3.045","27.3","9.1","36.4",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"","102
008","11","2.818",".","27.3","36.4","9.1","27.3",".",".",".",".",".",".",".",".",".",".","."
"","102
009","6","3.250",".","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","6","2.167","16.7",".","16.7",".","50.0",".","16.7",".",".",".",".",".",".",".",".","."
"","102
011","10","3.100","30.0","10.0","40.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","102
012","9","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","8","2.688",".","12.5","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102
014","8","2.875","12.5","25.0","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102
015","8","2.938","25.0","37.5","12.5",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","102
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
017","9","3.000","22.2",".","55.6",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","102
018","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
102","9","3.000","11.1","22.2","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","020
102","12","3.333","41.7","16.7","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","166","3.018","21.7","19.9","29.5","10.2","14.5","2.4","1.8",".",".",".",".",".",".",".",".","."
"","151
001","104","2.784","16.3","7.7","36.5","6.7","27.9","3.8","1.0",".",".",".",".",".",".",".",".","."
"","151
002","96","2.760","13.5","7.3","37.5","11.5","26.0","3.1","1.0",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","200","2.773","15.0","7.5","37.0","9.0","27.0","3.5","1.0",".",".",".",".",".",".",".",".","."
"Introductory Biology","152
001","147","3.010","21.8","12.2","43.5","6.1","10.9","1.4","3.4",".",".",".",".",".","0.7",".",".","."
"","153
001","19","2.737","31.6",".","21.1",".","42.1",".","5.3",".",".",".",".",".",".",".",".","."
"","153
002","32","2.563","12.5","9.4","25.0","9.4","31.3","12.5",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","51","2.627","19.6","5.9","23.5","5.9","35.3","7.8","2.0",".",".",".",".",".",".",".",".","."
"Directed Study","199
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","260
001","34","3.588","55.9","11.8","26.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","2","***","","","","","","","","","","","","","","","",""
"Introduction to Entomology","302
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","57","3.269","36.8","12.3","31.6",".","10.5","3.5",".","5.3",".",".",".",".",".",".",".","."
"","316
002","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
003","23","3.826","95.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","42","3.881","95.2",".","2.4",".",".",".","2.4",".",".",".",".",".",".",".",".","."
"Extinction of Species","360
001","142","3.304","32.4","29.6","21.8","4.9","7.0","0.7","2.1",".",".",".",".",".","1.4",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 361 of 464",""
