"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"451
Intro to SAS Prog for Pop Hlth","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"502
Air Pollution&Human Health","001","","43","3.779","69.8","18.6","9.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"548
Economics of Health Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"551
Intro to Biostats for Pop Hlth","002","","9","3.750","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"553
Internl Hlth & Global Society","001","","27","3.778","74.1","11.1","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"651
Adv Regression Mthds-Pop Hlth","001","","10","3.350","20.0","30.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Translat'l & Outcomes Research","002","","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"712
Integrating Med and PH","001","","62","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"721
Conspiracies in Public Health","001","","50","",".",".",".",".",".",".",".","98.0",".",".",".",".",".",".","2.0","."
"728
Climate Change Medicine","009","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"750
Cancer Epidemiology","001","","15","3.885","73.3","6.7","6.7",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"795
Principles-Populatn Health Sci","002","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"797","005","","43","3.713","60.5","14.0","16.3","2.3",".",".",".",".",".",".",".",".","2.3",".","4.7","."
"797","006","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","Course Total","","53","3.720","60.4","17.0","15.1","1.9",".",".",".",".",".",".",".",".","1.9",".","3.8","."
"805
Adv. Epi: Causal Inference","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Global Health Epidemiology","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"847
Cardiovascular Epi","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Cost Eff. Analysis Healthcare","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"876
Measuring Health Outcomes","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Internl Hlth Systems & Policy","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 422 of 464",""
