"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"1st-Yr Seminar: Biological Sci","101
001","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
106","16","3.594","68.8","6.3","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","31","3.710","74.2","6.5","9.7","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Social&Natural Sci","107
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","145
001","160","3.909","95.6","0.6","0.6",".","1.9","0.6","0.6",".",".",".",".",".",".",".",".","."
"","002
145","263","3.898","91.6","2.7","2.3","0.8","1.1",".","0.8",".",".",".",".",".",".","0.8",".","."
"","145
003","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"How to Succeed in College","Course Total","431","3.904","93.0","1.9","1.6","0.5","1.4","0.2","0.7",".",".",".",".",".","0.2","0.5",".","."
"","210
001","18","3.706","77.8","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".","5.6",".","."
"","210
002","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","20","3.650","90.0",".",".",".",".","5.0","5.0",".",".",".",".",".",".",".",".","."
"","210
004","16","3.600","75.0",".",".","12.5",".","6.3",".",".",".",".",".",".","6.3",".",".","."
"","210
005","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","19","3.842","94.7",".",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","210
007","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
009","14","3.286","64.3",".","7.1","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","210
010","20","3.750","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","210
011","15","3.300","73.3","6.7",".",".","6.7",".","13.3",".",".",".",".",".",".",".",".","."
"","210
012","18","3.583","72.2","11.1","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","210
013","18","3.361","66.7",".","5.6","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","210
014","20","3.500","45.0","20.0","15.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"L&S Career Development","Course Total","243","3.669","78.2","5.3","4.1","4.5","2.1","1.6","2.5",".",".",".",".",".","1.2","0.4",".","."
"Communicating About Careers","215
001","119","3.624","61.3","18.5","11.8","1.7","3.4",".","1.7",".",".",".",".",".","1.7",".",".","."
"","250
001","15","3.758","80.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","250
002","18","3.764","66.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","18","3.947","88.9",".","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","250
004","18","3.789","66.7","16.7","5.6","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"","005
250","15","3.911","73.3","13.3",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","250
006","18","3.944","83.3",".","5.6",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","250
007","19","3.784","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","18","3.842","83.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","15","3.969","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
010","16","3.926","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","170","3.860","77.6","13.5","3.5","1.2",".","0.6",".",".",".",".",".",".","3.5",".",".","."
"Intrnshp in Liberal Arts & Sci","260
001","26","3.904","92.3",".","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
