"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","","","",""
"Directed Studies","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"BIOLOGY
205","Dept. Total","1735","2.874","21.7","10.8","32.3","8.6","17.7","5.7","2.3","",".","",".",".","",".","0.3","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","271","2.304","12.5","8.1","24.7","8.1","23.2","15.5","7.4","",".","",".",".","",".",".","0.4",".",".","."
"Sophomore","","799","2.870","18.1","11.8","35.7","9.8","18.6","4.6","1.1","",".","",".",".","",".",".","0.3",".",".","."
"Junior","","541","3.046","27.0","11.3","34.8","7.4","14.2","3.0","1.7","",".","",".",".","",".",".","0.7",".",".","."
"Senior","","118","3.115","40.7","9.3","16.9","8.5","14.4","3.4","1.7","",".","",".",".","",".","4.2","0.8",".",".","."
"Undergraduates","","1729","2.871","21.6","10.9","32.4","8.7","17.7","5.7","2.3","",".","",".",".","",".","0.3","0.5",".",".","."
"Special","","6","3.500","66.7",".","16.7",".","16.7",".",".","",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1735","2.874","21.7","10.8","32.3","8.6","17.7","5.7","2.3","",".","",".",".","",".","0.3","0.5",".",".","."
