"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"131
Earth's Soil","001","","39","3.372","28.2","43.6","17.9","5.1","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"250
Intro to Environmental Science","001","","38","3.039","18.4","26.3","26.3","18.4","5.3","2.6","2.6",".",".",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
General Soil Science","001","","41","3.098","31.7","17.1","19.5","12.2","14.6","4.9",".",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"325
Soils and Landscapes","002","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Grassland Ecology","001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Envir Soil Contamination","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499
Soil Management","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"622
Soil Physics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Toxicants in the Environmnt","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Special Problems","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"728
Graduate Seminar","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","18","",".",".",".",".",".",".",".","72.2",".",".",".","27.8",".",".",".","."
