"HISTORY OF SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","",""
"Green Screen","125","001","20","3.525","25.0","60.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Digital Age","150","001","153","3.757","62.1","23.5","2.0","2.6",".","0.7","0.7","7.8",".",".",".",".","0.7",".",".","."
"Engineering Inequality","160","001","43","3.779","67.4","20.9","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Origins-Scientific Thought","201","001","131","3.685","68.7","12.2","7.6","1.5","2.3",".","2.3","4.6",".",".",".",".",".",".",".","0.8"
"Sci, Med, & Race: A History","275","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Pharmacy","401","001","26","3.827","80.8","7.7","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"A History of Disease","404","001","42","3.000","11.9","21.4","33.3","16.7","7.1",".","2.4","4.8",".",".",".",".","2.4",".",".","."
"Dev Public Health-America","509","001","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Internl Hlth & Global Society","553","001","24","3.750","70.8","16.7","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-Hist of Sci","555","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Historiography & Methods","720","001","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","990","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","104","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","219","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","289","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","9","",".",".",".",".",".",".",".","22.2",".",".",".","77.8",".",".",".","."
"Independent Work","999","114","1","***","","","","","","","","","",".",".",".",".",".",".","."
