"Summary by Level","#","Ave","A","AB","B","BC","","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PATH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","12","2.958","33.3","8.3","33.3","",".","16.7",".","8.3",".","",".",".","",".",".","",".",".",".","."
"Junior","22","3.667","68.2","9.1","13.6","",".",".","4.5",".",".","",".",".","",".",".","",".",".","4.5","."
"Senior","22","3.652","63.6","4.5","13.6","",".",".","4.5",".",".","",".",".","",".",".","",".",".","13.6","."
"Undergraduates","57","3.487","57.9","7.0","19.3","",".","3.5","3.5","1.8",".","",".",".","",".",".","",".",".","7.0","."
"Special","1","***","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","145","3.944","33.1","0.7",".","",".",".",".",".","24.8","",".","27.6","",".","5.5","",".",".","8.3","."
"Prof Yr 2","11","",".",".",".","",".",".",".",".","9.1","",".","90.9","",".",".","",".",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","","","50.0","",".",".","",".",".",".","."
"Prof Yr 4","120","",".",".",".","",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","133","",".",".",".","",".",".",".",".","91.7","",".","8.3","",".",".","",".",".",".","."
