"LIBRARY & INFORMATION STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","655
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
002","","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","Course Total","","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","705
002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Analytics","Course Total","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","706
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Mining Planning and Mgmt","Course Total","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","707
001","","8","3.833","62.5",".","12.5",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"","707
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","707
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","707
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Vis for Decision Making","Course Total","","21","3.895","76.2","9.5","4.8",".",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"","711
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Management for Info Prof","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","712
001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","734
001","","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","734
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Archive&Record Mngmnt","Course Total","","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","751
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","751
005","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Info Prof","Course Total","","18","3.750","72.2","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","772
001","","16","3.781","75.0","6.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PWR Seminar","925
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-LIS Foundatns:Hist&Philos","950
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","975
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","975
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Info Organization & Access","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
