"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"103
Agroecology of Food and Ag","002","","18","3.639","55.6","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"201","001","","67","3.777","62.7","28.4","4.5",".","1.5",".",".",".",".",".",".",".",".",".","3.0","."
"201","002","","63","3.659","55.6","28.6","11.1","1.6","3.2",".",".",".",".",".",".",".",".",".",".","."
"201","003","","58","3.612","55.2","31.0","5.2","1.7","5.2","1.7",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","Course Total","","188","3.685","58.0","29.3","6.9","1.1","3.2","0.5",".",".",".",".",".",".",".",".","1.1","."
"203
Introduction to Global Health","001","","87","3.881","77.0","16.1","3.4",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"205
Our Planet, Our Health","001","","228","3.787","80.3","8.3","8.3",".","1.3","0.9","0.9",".",".",".",".",".",".",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","33.3","."
"302
Introduction to Entomology","001","","23","3.196","47.8","13.0","4.3","17.4","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"331
Taxonomy of Mature Insects","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"450
Basic & Applied Insect Ecology","001","","28","3.286","46.4","28.6","3.6","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"540
Theoretical Ecology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"624
Molecular Ecology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","3.280","63.6",".",".",".","27.3",".",".",".",".",".",".",".",".",".","9.1","."
"801
Colloquium","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar: Organismal Entomol","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"953
Intr. to WI Ecol.: Grad Sem","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","18","",".",".",".",".",".",".",".","55.6",".",".",".","44.4",".",".",".","."
