"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","254","3.341","30.7","28.7","25.2","10.2","4.3","0.8",".",".",".",".",".",".",".",".",".","."
"","306
002","35","3.871","91.4",".","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","289","3.405","38.1","25.3","22.5","9.3","4.2","0.7",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","12","2.885","16.7","16.7","25.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","399
202","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","410
002","22","2.929","18.2","22.7","18.2","9.1","22.7","4.5",".",".",".",".",".",".",".",".","4.5","."
"","003
410","51","3.353","19.6","37.3","37.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","004
410","43","2.905","18.6","11.6","20.9","30.2","14.0","2.3",".",".",".",".",".",".",".",".","2.3","."
"","005
410","27","3.327","37.0","14.8","22.2","18.5","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","143","3.150","22.4","23.1","26.6","16.1","8.4","1.4",".","0.7",".",".",".",".",".",".","1.4","."
"","001
415","48","3.323","31.3","22.9","31.3","8.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","415
002","16","3.344","25.0","31.3","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","415
003","34","3.294","32.4","20.6","29.4","8.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","98","3.316","30.6","23.5","31.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","420
001","48","3.490","39.6","25.0","29.2","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","37","3.568","45.9","27.0","21.6","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","420
003","19","3.474","31.6","31.6","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
004","25","3.380","20.0","40.0","36.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","129","3.488","36.4","29.5","29.5","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","425
001","39","3.397","33.3","35.9","23.1","2.6","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"","425
002","37","3.270","24.3","18.9","48.6","2.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"","425
003","22","3.477","40.9","31.8","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","98","3.367","31.6","28.6","30.6","4.1","4.1",".","1.0",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","30","3.828","73.3","13.3","10.0",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Excel Modeling","631
001","80","3.444","33.8","33.8","20.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"ARGUS Modeling","632
001","63","3.571","46.0","28.6","19.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","32","3.766","53.1","46.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","38","3.395","23.7","31.6","44.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720
001","28","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","12","3.500","50.0","16.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","765
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","24","3.781","75.0","8.3","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Private RE Equity Investment 2","851
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Research Seminar","978
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
