"FOOD SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"Independent Study","299","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Sci & Technol of Food","301","001","","23","2.674","26.1","13.0","17.4","8.7","17.4","8.7","8.7",".",".",".",".",".",".",".",".","."
"","324","003","","7","3.071",".","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","324","004","","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology Laboratory","","Course Total","","17","3.324","17.6","52.9","23.5",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325","001","","28","3.089","21.4","14.3","42.9","3.6","17.9",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Chemistry","410","001","","30","2.733","10.0","10.0","40.0","10.0","23.3","6.7",".",".",".",".",".",".",".",".",".","."
"Food Service Operations","437","001","","34","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438","002","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","","Course Total","","33","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Food Engr","440","001","","19","2.711","10.5","15.8","26.3","21.1","21.1",".","5.3",".",".",".",".",".",".",".",".","."
"Integrated Food Manufacturing","532","001","","27","2.981","18.5","14.8","37.0","3.7","25.9",".",".",".",".",".",".",".",".",".",".","."
"Confectionery Science&Technlgy","535","001","","12","3.318","25.0","16.7","41.7","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Food Fermentation Laboratory","551","001","","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Project","602","001","","24","3.917","91.7","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Chem of the Food Lipids","710","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar Advanced","900","001","","28","3.833","7.1","3.6",".",".",".",".",".","89.3",".",".",".",".",".",".",".","."
"","990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","028","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","32","",".",".",".",".",".",".",".","84.4","3.1",".",".","12.5",".",".",".","."
