"GENERAL BUSINESS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"","106
001","","672","",".",".",".",".",".",".",".",".",".","97.9","1.2",".",".","0.1",".","."
"","106
100","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Skills for Business Analysis","Course Total","","679","",".",".",".",".",".",".",".",".",".","97.9","1.2",".",".","0.1",".","."
"","001
110","","24","3.833","91.7",".","4.2",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","110
002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
003","","30","3.917","90.0","3.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
004","","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","110
005","","30","3.917","90.0","3.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
110","","24","3.792","79.2","8.3","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","110
007","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
008","","29","3.759","75.9","6.9","13.8",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","110
009","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
010","","24","3.813","83.3","4.2","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","011
110","","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","","23","3.848","87.0",".","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","110
013","","27","3.870","88.9",".","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","110
014","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
015","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
016","","18","3.833","83.3","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","110
017","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
018","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
110","","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
020","","24","3.771","75.0","8.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","110
021","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
022","","27","3.889","88.9","7.4",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","110
023","","22","3.818","86.4","4.5",".","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","110
024","","29","3.724","86.2",".","6.9",".",".","6.9",".",".",".",".",".",".",".",".",".","."
"","025
110","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
026","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
027","","25","3.380","68.0","4.0","12.0",".","8.0",".","8.0",".",".",".",".",".",".",".",".","."
"","110
028","","26","3.673","76.9","7.7","7.7","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"","110
029","","26","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","030
110","","24","3.896","87.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
031","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
032","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
033","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
034","","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
035","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
036","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
037","","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","038
110","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
039","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
040","","24","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","","Page 46 of 464"
