"BUS","","","","","","","","","","","","","","","","","","","","","",""
"OPERATIONS & TECHNOLOGY M Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","","",""
"OTM
Dept. Total
238","1043","3.393","38.9","30.6","19.0","3.5","6.0","1.2","0.6","",".","",".",".","",".","",".","0.1",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","77","2.935","14.3","16.9","37.7","11.7","15.6","3.9",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","220","3.095","19.5","29.1","29.1","6.4","11.4","3.6","0.9","",".","",".",".","",".","",".",".",".",".","."
"Senior","291","3.388","34.4","35.4","17.5","3.8","7.6","0.3","1.0","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","588","3.219","26.2","30.6","24.5","5.8","10.0","2.0","0.9","",".","",".",".","",".","",".",".",".",".","."
"Special","10","2.800","30.0","20.0","20.0",".","10.0","10.0","10.0","",".","",".",".","",".","",".",".",".",".","."
"Graduate","420","3.719","56.7","29.8","11.9","0.7","0.7",".",".","",".","",".",".","",".","",".","0.2",".",".","."
"Prof Yr 2","7","3.868","71.4","28.6",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","17","3.592","29.4","58.8","11.8",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","25","3.683","44.0","48.0","8.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","1043","3.393","38.9","30.6","19.0","3.5","6.0","1.2","0.6","",".","",".",".","",".","",".","0.1",".",".","."
