"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"","200
001","126","3.242","14.3","43.7","27.0","9.5","4.8",".","0.8",".","",".","",".",".","",".","",".","",".",".","."
"","002
200","107","3.051","16.8","32.7","24.3","13.1","7.5","2.8","2.8",".","",".","",".",".","",".","",".","",".",".","."
"International Business","Course Total","233","3.155","15.5","38.6","25.8","11.2","6.0","1.3","1.7","",".","",".",".","",".","",".","",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intercultural Communctn in Bus","320
001","23","3.761","52.2","47.8",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Spanish for Business","329
001","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","403
001","8","3.125","12.5","12.5","62.5","12.5",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","002
403","19","3.658","57.9","26.3","5.3","10.5",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Global Issues in Management","Course Total","27","3.500","44.4","22.2","22.2","11.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Global Marketing Strategy","420
001","20","3.625","25.0","75.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Multinational Bus Finance","445
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Latin Amer Economc Develpmt","462
001","16","3.750","56.3","37.5","6.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"INTL BUS
235","Dept. Total","331","3.308","25.4","39.0","20.5","8.8","4.2","0.9","1.2","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","55","3.118","7.3","36.4","38.2","12.7","3.6","1.8",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","108","3.213","20.4","41.7","20.4","8.3","5.6","0.9","2.8","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","151","3.454","36.4","37.7","13.9","7.9","2.6","0.7","0.7","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","314","3.312","25.8","38.9","20.4","8.9","3.8","1.0","1.3","",".","",".",".","",".","",".","",".",".",".","."
"Special","","17","3.235","17.6","41.2","23.5","5.9","11.8",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","331","3.308","25.4","39.0","20.5","8.8","4.2","0.9","1.2","",".","",".",".","",".","",".","",".",".",".","."
