"MEDICAL MICROBIOL & IMMUNO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Bacteriology","001","","56","3.161","39.3","17.9","14.3","10.7","10.7","5.4","1.8",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","79","3.019","27.8","13.9","30.4","5.1","15.2","3.8","2.5",".",".",".",".",".","1.3",".",".","."
"554
Infect Diseases & Bioterrorism","001","","30","3.900","83.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"677","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"677","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","19","3.969","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Infect Disease-Human Beings","001","","59","3.681","54.2","25.4","18.6",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"740
Mech Microbial Pathogenesis","001","","14","3.679","64.3","7.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","36","",".",".",".",".",".",".",".","5.6",".",".",".","94.4",".",".",".","."
