"L&S","","","","","","","","","","","","","","","","","","","",""
"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"ANTHRO
156","Dept. Total","2154","3.677","63.8","19.1","7.6","2.9","1.9","0.4","1.1","0.9","0.0",".","",".","0.5","0.9","0.1",".","0.7"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","717","3.606","57.5","24.0","9.3","3.1","2.4","0.3","1.8",".",".",".","",".",".","0.4","0.1",".","1.1"
"Sophomore","","639","3.722","68.5","18.6","6.4","2.7","1.6","0.6","0.6",".",".",".","",".",".","0.3",".",".","0.6"
"Junior","","381","3.706","64.8","20.7","6.8","3.1","1.0","0.3","0.8",".",".",".","",".",".","1.3",".",".","1.0"
"Senior","","312","3.712","71.5","12.2","7.4","3.8","2.9","0.6",".",".",".",".","",".","1.0","0.6",".",".","."
"Undergraduates","","2049","3.677","64.4","19.9","7.7","3.1","2.0","0.4","1.0",".",".",".","",".","0.1","0.6","0.0",".","0.8"
"Special","","15","3.250","26.7","6.7","6.7",".",".",".","6.7","26.7",".",".","",".",".","13.3","13.3",".","."
"Graduate","","89","3.723","55.1","3.4","5.6",".",".",".","2.2","18.0","1.1",".","",".","9.0","5.6",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2154","3.677","63.8","19.1","7.6","2.9","1.9","0.4","1.1","0.9","0.0",".","",".","0.5","0.9","0.1",".","0.7"
