"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Internship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"920
Reh Coun Ed-Cnslg Supervision","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Reh Coun Ed-Supv Research","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"941","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"945
Internshp in Reh Couns Ed I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"984
Reh Coup Ed-Cnslg Thry&Rsrch","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","10","",".",".",".",".",".",".",".","70.0",".",".",".","30.0",".",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
