"FARM & INDUSTRY SHORT COU Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"375
FISC","","","","","","","","","","","","","","","","","","","","",""
"Intro to Turf Management","119","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ag Commodities Marketing","121","001","","13","3.115","30.8","23.1","23.1","15.4",".",".","7.7",".",".",".",".",".",".",".",".","."
"Turfgrass IPM","123","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Turf Irrigation and Drainage","124","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Farm Machinery","140","001","","15","3.433","53.3","13.3","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Bus. Principles of Ag Mgmt","51","001","","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ag Human Resources Mgmt","53","001","","23","3.478","52.2","34.8","4.3",".",".","4.3","4.3",".",".",".",".",".",".",".",".","."
"Introduction to Soils","57","001","","19","3.395","47.4","10.5","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Dairy Herd Management","63","001","","15","3.600","60.0","6.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","75","001","","20","3.525","55.0","15.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","75","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","75","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","75","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","75","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","75","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","75","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in FISC","","Course Total","","43","3.765","74.4","7.0","7.0","4.7","2.3",".",".",".",".",".",".",".","4.7",".",".","."
