"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","246","3.573","62.2","16.3","9.8","5.7","4.1",".","2.0",".",".",".",".",".",".",".",".","."
"","132","002","232","3.595","69.4","10.8","7.8","4.3","4.3",".","3.0",".",".",".",".",".","0.4",".",".","."
"Nutrition Today","","Course Total","478","3.584","65.7","13.6","8.8","5.0","4.2",".","2.5",".",".",".",".",".","0.2",".",".","."
"Prof-Dietetics & Nutrition","200","001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Global Health","203","001","365","3.829","72.6","18.6","6.6","0.3","0.3",".",".",".",".",".",".",".","1.6",".",".","."
"","299","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","071","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Human Nutritional Needs","332","001","104","3.157","34.6","5.8","33.7","11.5","9.6","1.9","1.0",".",".",".",".",".","1.9",".",".","."
"Cultural Aspects Food and Nutr","377","001","19","3.842","89.5",".",".","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr Biochm & Mtblsm","510","001","26","3.481","42.3","19.2","34.6",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nutr&Couns for Athletic Perf","550","001","16","3.893","68.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Experimental Diet Design","626","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition I","631","001","31","3.581","51.6","22.6","19.4","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"App Clinical Nutrition I","641","001","31","3.952","90.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mol Ctrl of Mtblsm & Mtblc Dis","645","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Clin Nutr: Crit Care Nutr","650","001","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum I","670","001","18","3.765","72.2",".","22.2",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Senior Thesis-Nutrition","691","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Human Energy Metabolism","710","002","27","3.852","77.8","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pers Nutr-Genomics & Genetics","711","001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micronutr-Human Phys & Disease","715","001","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition Informatics","721","002","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutritional Mgmt GI Disorders","726","001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","875","001","17","3.933","82.4",".","5.9",".",".",".",".","5.9",".",".",".",".","5.9",".",".","."
"Smr-Nutr&Metabolism (Adv)","901","001","13","4.000","69.2",".",".",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"Seminar-Nutrition","931","001","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
