"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"561
Physical Chemistry","001","","34","3.029","14.7","26.5","29.4","14.7","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"562
Physical Chemistry","001","","54","3.130","33.3","9.3","33.3","16.7","1.9","1.9","3.7",".",".",".",".",".",".",".",".","."
"563","001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"563","003","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"563","004","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"563","006","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","","42","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"564","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"564","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"564","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"564","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","","16","3.406","31.3","31.3","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"565
Biophysical Chemistry","001","","106","3.274","46.2","6.6","23.6","8.5","13.2","0.9","0.9",".",".",".",".",".",".",".",".","."
"608
Symmtry/Bondng/Molec Shapes","001","","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"622
Organic Analysis","001","","33","3.891","81.8","9.1","6.1",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"624
Electrochemistry","001","","17","3.469","35.3","35.3","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"636
Topics-Chem Instrumentatn: NMR","001","","21","3.690","61.9","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"641
Advanced Organic Chemistry","001","","27","3.537","40.7","25.9","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"652
Chem of Inorganic Materials","001","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"661
Chem & Stat Thermodynamics","001","","20","3.684","55.0","20.0","20.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"664
Phys Chem of Macromolecules","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"668
Biophysical Spectroscopy","001","","34","3.622","47.1","26.5","23.5",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"675
Intro Quantum Chemistry","001","","29","3.276","34.5","6.9","37.9","20.7",".",".",".",".",".",".",".",".",".",".",".","."
"681","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","149","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"682
Senior Honors Thesis","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 201 of 464",""
