"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"B M E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","47","3.708","46.8","46.8","6.4",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","162","3.751","72.2","19.1","4.9",".","0.6","",".","0.6",".","",".","1.2","",".",".","0.6",".","0.6","."
"Senior","526","3.727","61.0","20.9","7.2","2.1","0.4","",".",".",".","",".","8.2","",".",".","0.2",".",".","."
"Undergraduates","736","3.731","62.6","22.1","6.7","1.5","0.4","",".","0.1",".","",".","6.1","",".",".","0.3",".","0.1","."
"Special","5","***","","","","","","","","","","","","20.0","",".",".",".",".",".","."
"Graduate","248","3.834","40.7","4.8","4.0","0.8",".","",".",".","21.8","",".","16.9","",".","9.7","0.8","0.4",".","."
"Prof Yr 2","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","8","4.000","12.5",".",".",".",".","",".",".","50.0","",".","12.5","",".","25.0",".",".",".","."
"Professionals","9","4.000","11.1",".",".",".",".","",".",".","55.6","",".","11.1","",".","22.2",".",".",".","."
