"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","371
003","115","2.800","27.8","4.3","19.1","20.0","20.9","4.3","3.5",".",".",".",".",".",".",".",".","."
"","004
371","111","2.878","24.3","12.6","18.9","13.5","26.1","3.6","0.9",".",".",".",".",".",".",".",".","."
"","371
005","119","3.025","30.3","10.9","26.1","12.6","15.1","3.4","1.7",".",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","587","2.958","27.9","9.9","23.0","15.2","19.9","2.7","1.4",".",".",".",".",".",".",".",".","."
"Internship Class CS & Data Sci","403
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Categorical Data Anal","421
001","62","3.234","41.9","21.0","12.9","9.7","8.1","3.2","3.2",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design","424
002","55","3.444","38.2","30.9","20.0","5.5","1.8",".","1.8",".",".",".",".",".","1.8",".",".","."
"","431
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
431","6","3.083","33.3",".","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","20","3.375","50.0","5.0","20.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","001
433","59","3.561","67.8","8.5","11.9","1.7","1.7",".","5.1",".",".",".",".",".","1.7",".","1.7","."
"","433
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Science with R","Course Total","62","3.567","67.7","8.1","12.9","1.6","1.6",".","4.8",".",".",".",".",".","1.6",".","1.6","."
"","451
001","62","3.926","83.9","14.5",".",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"","451
002","69","3.920","85.5","13.0","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Machine Learning","Course Total","136","3.922","84.6","14.0","0.7",".",".",".",".","0.7",".",".",".",".",".",".",".","."
"","001
475","7","2.857","14.3",".","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","475
002","6","2.667","16.7","33.3",".",".","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"","475
003","7","3.357","57.1",".","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","20","2.975","30.0","10.0","20.0","15.0","20.0","5.0",".",".",".",".",".",".",".",".",".","."
"","479
003","41","3.524","65.9","4.9","4.9","17.1","7.3",".",".",".",".",".",".",".",".",".",".","."
"","479
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Stats","Course Total","48","3.594","70.8","4.2","4.2","14.6","6.3",".",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","7","1.929","14.3",".",".","14.3","42.9","14.3","14.3",".",".",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
001","65","3.516","30.8","38.5","27.7",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"","571
002","59","3.526","35.6","32.2","30.5",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","124","3.521","33.1","35.5","29.0",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","601
001","33","3.500","27.3","63.6","6.1",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"","601
002","29","3.862","96.6",".",".",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"Statistical Methods I","Course Total","62","3.669","59.7","33.9","3.2",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Statistical Methods II","602
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science Computing Project","605
001","53","3.896","83.0","13.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","32","3.629","40.6","40.6","15.6",".",".",".",".",".",".",".",".",".",".",".","3.1","."
"","610
001","33","3.879","87.9",".","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610
002","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","Course Total","50","3.760","70.0","12.0","18.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science Practicum","628
001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 353 of 464",""
