"L&S","","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"254
001
Literature and Science","29","3.672","51.7","31.0","17.2",".",".",".",".",".","",".","",".",".",".","",".",".",".","."
"357
001
Peer Mentor Seminar","8","4.000","100.0",".",".",".",".",".",".",".","",".","",".",".",".","",".",".",".","."
"365
002
Machiavelli and His World","7","3.643","28.6","71.4",".",".",".",".",".",".","",".","",".",".",".","",".",".",".","."
"369
001
Magic Realism Postmodernity","11","3.818","72.7","18.2","9.1",".",".",".",".",".","",".","",".",".",".","",".",".",".","."
"371
001
Interdis in Arts & Humanities","8","3.375","62.5","25.0",".",".",".",".","12.5",".","",".","",".",".",".","",".",".",".","."
"ILS
Dept. Total
500","849","3.622","57.5","13.7","6.1","2.9","0.9","0.8","1.4","",".","",".","15.8","0.1","",".","0.6",".",".","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","371","3.574","52.0","10.5","5.9","2.7","0.5","0.5","1.6","",".","",".","25.1","0.3","",".","0.5",".",".","0.3"
"Sophomore","277","3.714","62.8","13.0","4.0","2.9","1.4","0.7","0.4","",".","",".","14.1",".","",".","0.7",".",".","."
"Junior","137","3.534","58.4","21.2","10.2","3.6","0.7","0.7","3.6","",".","",".","1.5",".","",".",".",".",".","."
"Senior","64","3.642","64.1","18.8","7.8","3.1","1.6","3.1",".","",".","",".",".",".","",".","1.6",".",".","."
"Undergraduates","849","3.622","57.5","13.7","6.1","2.9","0.9","0.8","1.4","",".","",".","15.8","0.1","",".","0.6",".",".","0.1"
"Dept. Total","849","3.622","57.5","13.7","6.1","2.9","0.9","0.8","1.4","",".","",".","15.8","0.1","",".","0.6",".",".","0.1"
