"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Intro-Random Sig Anal&Stats","331
001","42","2.975","14.3","16.7","35.7","11.9","14.3","2.4",".",".",".",".",".",".","4.8",".",".","."
"Microelectronic Devices","335
001","12","3.500","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","113","3.903","85.8","8.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
002","58","3.440","55.2","10.3","22.4","1.7","6.9","1.7","1.7",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","Course Total","171","3.746","75.4","9.4","11.1","0.6","2.3","0.6","0.6",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","70","3.807","77.1","15.7","5.7",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"","352
001","92","3.212","28.3","25.0","22.8","13.0","9.8",".","1.1",".",".",".",".",".",".",".",".","."
"","352
002","46","2.913","6.5","28.3","30.4","10.9","23.9",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","138","3.112","21.0","26.1","25.4","12.3","14.5",".","0.7",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","78","3.221","34.6","23.1","16.7","12.8","7.7","1.3","2.6",".",".",".",".",".","1.3",".",".","."
"","354
001","19","3.289","42.1","10.5","31.6","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","354
002","39","3.077","23.1","30.8","17.9","10.3","12.8","2.6","2.6",".",".",".",".",".",".",".",".","."
"","003
354","22","3.159","13.6","36.4","27.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","80","3.150","25.0","27.5","23.8","10.0","10.0","2.5","1.3",".",".",".",".",".",".",".",".","."
"Elect Power for Alt Energy Sys","356
001","49","3.337","20.4","36.7","32.7","10.2",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","60","3.975","96.7","1.7","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","109","3.165","24.8","27.5","22.0","16.5","6.4","0.9","1.8",".",".",".",".",".",".",".",".","."
"","399
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
056","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","44","3.477","31.8","36.4","25.0","2.3","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"","411
003","18","3.735","66.7","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","5.6","."
"Intro to Electric Drive Sys","Course Total","62","3.550","41.9","29.0","21.0","3.2","1.6",".",".",".",".",".",".",".","1.6",".","1.6","."
"","427
001","60","3.342","33.3","21.7","21.7","13.3","5.0",".",".","1.7",".",".",".",".","3.3",".",".","."
"","427
003","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Power Systems","Course Total","69","3.424","40.6","20.3","18.8","11.6","4.3",".",".","1.4",".",".",".",".","2.9",".",".","."
"Digital Signal Processing","431
001","24","3.500","37.5","37.5","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
