"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","14","3.393","78.6","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"210
HIV: Sex, Society and Science","001","","43","3.523","60.5","7.0","25.6",".","2.3","4.7",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Veterinary Immunology","001","","92","3.647","55.4","23.9","15.2","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","92","3.321","29.3","21.7","37.0","7.6","4.3",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","92","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","92","3.658","63.0","12.0","18.5","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"525
Active, Integrated Learning I","001","","92","4.000","92.4",".",".",".",".",".",".","7.6",".",".",".",".",".",".",".","."
"528
Immunology","001","","27","3.148","40.7","11.1","22.2","3.7","14.8","7.4",".",".",".",".",".",".",".",".",".","."
"559
Veterinary General Path","003","","92","3.891","83.7","10.9","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","002","","92","3.549","44.6","27.2","22.8","4.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","39","4.000","71.8",".",".",".",".",".",".","15.4",".",".",".",".",".",".","12.8","."
"675","001","","23","4.000","17.4",".",".",".",".",".",".","82.6",".",".",".",".",".",".",".","."
"675","002","","48","",".",".",".",".",".",".",".","97.9",".",".",".",".",".",".","2.1","."
"675","003","","190","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","261","4.000","1.5",".",".",".",".",".",".","98.1",".",".",".",".",".",".","0.4","."
"681","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","5.6",".","16.7","."
"775","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","5","***","","","","","","","","","","","","","","","",""
"930
Advanced Seminar","012","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 456 of 464",""
