"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","34","3.574","41.2","44.1","8.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","301
001","113","3.920","85.0","12.4","1.8",".",".",".",".",".",".",".",".",".","0.9",".",".","."
"","301
002","116","3.746","66.4","21.6","6.9","2.6",".",".","0.9",".",".",".",".",".","1.7",".",".","."
"","301
003","116","3.874","85.3","7.8","2.6","1.7","1.7",".",".",".",".",".",".",".","0.9",".",".","."
"How People Learn","Course Total","345","3.846","78.8","13.9","3.8","1.4","0.6",".","0.3",".",".",".",".",".","1.2",".",".","."
"","001
320","106","3.719","68.9","13.2","11.3","4.7",".","0.9",".",".",".",".",".",".","0.9",".",".","."
"","002
320","82","3.543","50.0","25.6","12.2","7.3","4.9",".",".",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","188","3.642","60.6","18.6","11.7","5.9","2.1","0.5",".",".",".",".",".",".","0.5",".",".","."
"Human Develop-Adolescence","321
001","76","3.407","34.2","31.6","17.1","11.8","3.9",".",".",".",".",".",".",".","1.3",".",".","."
"Mind, Brain and Education","326
001","93","3.720","58.1","28.0","8.6","3.2",".",".",".",".",".",".",".",".","2.2",".",".","."
"Hum Devel Chldhood-Adolescn","001
331","105","3.471","49.5","21.0","16.2","5.7","3.8","1.9","1.0",".",".",".",".",".","1.0",".",".","."
"","470
013","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
029","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
068","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
077","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thinking and Learning","501
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","506
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","506
009","21","3.810","95.2",".",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","33","3.875","93.9",".",".",".",".",".","3.0",".",".",".",".",".","3.0",".",".","."
"Thinking, Feeling, & Learning","533
001","13","3.708","76.9","7.7",".",".",".","7.7",".",".",".",".",".",".","7.7",".",".","."
"Intro to Prof School Psych","540
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","18","3.611","44.4","44.4","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Quant&Qual Research Methods","560
001","19","4.000","89.5",".",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Found of Ed Measurement","570
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
001","23","3.739","52.2","43.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
003","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
004","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol Dev in Educ Contexts","Course Total","86","3.901","82.6","15.1","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supervision of Schl Personnel","631
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 99 of 464"
