"","999
039","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
043","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
046","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Study","Course Total","5","***","","","","","","","","","","","","","","","","",""
"HDFS
230","Dept. Total","1084","3.796","72.2","14.5","5.7","1.5","1.8","0.7","0.4","2.0","0.1",".","",".","0.5","0.6",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","33","3.500","42.4","33.3","6.1","6.1","9.1",".","3.0",".",".",".","",".",".",".",".",".","."
"Sophomore","","239","3.744","69.9","15.5","7.5","2.5","2.9","1.3","0.4",".",".",".","",".",".",".",".",".","."
"Junior","","387","3.834","74.7","18.9","4.1","0.8","0.5","0.8",".",".",".",".","",".",".","0.3",".",".","."
"Senior","","348","3.788","78.2","9.5","6.9","1.4","2.0","0.6","0.6",".",".",".","",".",".","0.9",".",".","."
"Undergraduates","","1007","3.790","73.7","15.3","6.0","1.6","1.9","0.8","0.4",".",".",".","",".",".","0.4",".",".","."
"Special","","8","3.667","25.0",".","12.5",".",".",".",".","50.0",".",".","",".",".",".",".","12.5","."
"Graduate","","68","3.933","55.9","4.4","1.5",".",".",".",".","26.5","1.5",".","",".","7.4","2.9",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","1084","3.796","72.2","14.5","5.7","1.5","1.8","0.7","0.4","2.0","0.1",".","",".","0.5","0.6",".","0.1","."
