"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Principles-Envrnmtl Science","126
001","9","3.556","66.7",".","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","138
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","138
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
004","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
005","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","138
006","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
007","13","3.808","84.6",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","138
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","138
009","7","3.571","85.7",".",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","138
010","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
012","13","3.615","69.2","7.7","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","138
013","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
014","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CRC 1st Yr Smr: Lib Arts Educ","Course Total","142","3.870","88.0","4.9","2.8","2.8","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"","139
002","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","139
003","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","139
004","16","3.469","81.3","6.3",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","139
005","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","139
006","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CRC Special Seminar","Course Total","78","3.878","89.7","5.1","1.3",".",".",".","2.6",".",".",".",".",".","1.3",".",".","."
"","157
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
004","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
005","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
007","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
008","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
009","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
010","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
012","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
013","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
014","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","135","",".",".",".",".",".",".",".",".",".","99.3","0.7",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","101","3.713","78.2","11.9","1.0","4.0","1.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201
001","138","3.537","60.1","21.0","7.2","3.6","0.7","2.2","3.6",".",".",".",".",".","0.7",".",".","0.7"
"West Culture:Lit&The Arts I","203
001","122","3.594","61.5","17.2","9.8","6.6","3.3","0.8","0.8",".",".",".",".",".",".",".",".","."
"W Cult:Pol,Econ&Soc Thght I","205
001","51","3.300","21.6","35.3","31.4","7.8",".",".","2.0",".",".",".",".",".","2.0",".",".","."
"Genres-Westrn Relig Writing","234
001","10","3.563","10.0","70.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","Page 268 of 464",""
