"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","112
002","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","","14","3.714","78.6","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","112
004","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","","82","3.872","85.4","11.0","1.2",".","1.2","1.2",".",".",".",".",".",".",".",".",".","."
"","176
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
002","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
003","","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
176","","15","3.567","46.7","33.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Digital Photo for Non-Majors","Course Total","","61","3.836","78.7","13.1","6.6",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"","212
001","","17","3.794","76.5","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","002
212","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
212","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","","18","3.778","77.8","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","212
005","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing Methods & Concepts","Course Total","","75","3.840","81.3","10.7","5.3",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"","214
001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","","18","3.971","88.9","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","222
002","","19","3.868","89.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","","37","3.917","89.2","5.4",".",".","2.7",".",".",".",".",".",".",".","2.7",".",".","."
"","224
001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
004","","14","3.786","85.7",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","","60","3.892","91.7",".","5.0","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing I","232
002","","12","3.042","41.7","25.0",".","16.7",".","8.3","8.3",".",".",".",".",".",".",".",".","."
"Watercolor I","242
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
003","","8","3.313","62.5","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","27","3.574","59.3","18.5","18.5",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Color","302
001","","19","3.944","84.2","10.5",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Relief Printmaking","306
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","","13","3.615","61.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Making Comics 1","Course Total","","26","3.808","80.8","7.7","7.7",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","312
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
