"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","3","***","","","","","","","","","","","",".","",".","",".","",".",".","33.3","."
"Junior","","17","4.000","100.0",".",".","",".",".",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","26","3.730","88.5","3.8",".","",".","3.8","3.8","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","47","3.841","91.5","2.1",".","",".","2.1","2.1","",".",".",".",".","",".","",".","",".",".","2.1","."
"Graduate","","16","3.429","12.5",".","12.5","",".",".",".","",".","43.8","6.3",".","",".","",".","",".",".","25.0","."
"Prof Yr 3","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
