"TERM : 1222","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar",""
"Fall 2021-2022","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","",""
"SCIENCE & TECHNOLOGY STUDISection","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","",""
"Public Engagement with Science","733
001
7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".   
."
"Current Topics-Sci & Tech St","902
001
3","***","","","","","","","","","",".",".",".",".",".",".   
."
"STS
875","10
Dept. Total","4.000","70.0",".",".",".",".",".",".",".",".","30.0",".",".",".",".",".  
."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR
Other"
"","Grades","GPA","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","",""
"Graduate","10","4.000","70.0",".",".",".",".",".",".",".",".","30.0",".",".",".",".",".  
."
"","Dept. Total
10","4.000","70.0",".",".",".",".",".",".",".",".","30.0",".",".",".",".",".  
."
"January 05, 2022","","","","","","","","","","","","","","","","","Page 337 of 464"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","","",""
"","** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.","","","","","","","","","","","","","","","",""
"","*** Please note: The Law School uses a non-standard grade scale. Some of these grades cannot be mapped to our standard A/B, BC grading scale and are therefore excluded from this report..","","","","","","","","","","","","","","","",""
