"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"632","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"632","002","","11","3.100","36.4",".","45.5",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"632","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","19","3.167","47.4",".","31.6",".","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".","."
"641
Stat Mthds for Clin Trials","001","","27","3.093","22.2","33.3","25.9","7.4",".","7.4","3.7",".",".",".",".",".",".",".",".","."
"681","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","124","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","268","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Mathematical Statistics","001","","26","3.462","34.6","26.9","34.6","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"733
Theory of Probability I","001","","19","3.750","63.2","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","5.3","."
"761
Decision Trees-Multivar Anal","001","","32","3.828","59.4","31.3",".",".",".",".",".","6.3",".",".",".",".",".","3.1",".","."
"771
Statistical Computing","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"833
Topics in Probability","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"849
Thry&Appl-Regress&AnalVar I","001","","30","3.638","43.3","36.7","16.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"861
Theory of Machine Learning","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"888
Topics in Math Data Science","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"990","165","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","192","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","240","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","256","","1","***","","","","","","","","","",".",".",".",".",".",".","."
