"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Careers in Finance","200
001","31","3.758","87.1","3.2","3.2",".","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"","300
001","89","3.097","30.3","24.7","16.9","10.1","10.1","2.2","4.5","1.1",".",".",".",".",".",".",".","."
"","300
002","200","3.279","38.0","16.0","23.5","12.5","8.0","0.5","1.0",".",".",".",".",".",".","0.5",".","."
"","300
003","112","3.036","18.8","17.9","35.7","16.1","8.9","0.9","1.8",".",".",".",".",".",".",".",".","."
"","300
004","75","2.908","21.3","12.0","22.7","13.3","22.7","1.3","1.3","1.3",".",".",".",".","1.3","2.7",".","."
"Introduction to Finance","Course Total","476","3.131","29.4","17.4","25.0","13.0","10.9","1.1","1.9","0.4",".",".",".",".","0.2","0.6",".","."
"","305
001","51","3.569","41.2","43.1","9.8","3.9",".","2.0",".",".",".",".",".",".",".",".",".","."
"","305
002","60","3.358","26.7","35.0","30.0","3.3","3.3","1.7",".",".",".",".",".",".",".",".",".","."
"","305
003","59","3.568","40.7","39.0","13.6","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"","004
305","52","3.385","42.3","19.2","21.2","7.7","9.6",".",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","222","3.468","37.4","34.2","18.9","5.4","3.2","0.9",".",".",".",".",".",".",".",".",".","."
"","320
001","40","3.025","12.5","17.5","50.0","7.5","10.0","2.5",".",".",".",".",".",".",".",".",".","."
"","320
002","59","3.271","25.4","25.4","30.5","15.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"","003
320","58","3.586","44.8","32.8","17.2","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"","320
004","52","3.288","23.1","34.6","32.7","3.8","3.8",".","1.9",".",".",".",".",".",".",".",".","."
"","320
005","57","3.307","28.1","24.6","36.8","8.8",".",".","1.8",".",".",".",".",".",".",".",".","."
"","006
320","16","2.969","12.5",".","56.3","31.3",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","282","3.294","27.0","25.9","33.7","9.6","2.8","0.4","0.7",".",".",".",".",".",".",".",".","."
"","325
001","53","3.358","17.0","47.2","26.4","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","60","3.383","21.7","41.7","28.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","99","3.475","34.3","30.3","31.3","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","212","3.420","26.4","37.7","29.2","6.6",".",".",".",".",".",".",".",".",".",".",".","."
"","330
001","51","3.330","35.3","17.6","35.3","3.9","3.9",".","2.0",".",".",".",".",".","2.0",".",".","."
"","330
002","59","3.331","35.6","20.3","23.7","15.3","5.1",".",".",".",".",".",".",".",".",".",".","."
"","330
003","49","3.214","24.5","30.6","30.6","8.2","2.0",".","4.1",".",".",".",".",".",".",".",".","."
"","330
004","54","3.102","35.2","11.1","13.0","20.4","20.4",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","213","3.245","32.9","19.7","25.4","12.2","8.0",".","1.4",".",".",".",".",".","0.5",".",".","."
"","365
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
004","28","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
005","51","3.980","96.1","3.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","85","3.949","91.8","7.1",".","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","36","3.559","44.4","22.2","25.0",".","2.8",".",".","2.8",".",".",".",".","2.8",".",".","."
"","420
001","38","3.553","42.1","31.6","23.7",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","420
002","35","3.557","31.4","48.6","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
420","37","3.635","45.9","35.1","18.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","Course Total","110","3.582","40.0","38.2","20.9",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","33","3.727","63.6","24.2","6.1","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Equity Mkts Research 1","535
001","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
003","37","3.405","43.2","8.1","40.5","2.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"Business Valuation","Course Total","54","3.472","44.4","14.8","35.2","1.9","3.7",".",".",".",".",".",".",".",".",".",".","."
