"KINESIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100","001","223","2.659","15.7","8.5","24.7","11.2","32.3","6.7","0.9",".",".",".",".",".",".",".",".","."
"Measuring Physical Act Beh","112","001","19","3.632","63.2","21.1","5.3",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Human Performance","115","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","001","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid & Basic Life Support","","Course Total","42","3.810","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","99","3.894","88.9","5.1","4.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121","001","18","3.417","27.8","33.3","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Living well: Lifestyle balance","123","001","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125","001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125","002","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125","003","10","4.000","10.0",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"","125","004","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125","005","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125","006","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","","Course Total","58","4.000","1.7",".",".",".",".",".",".","98.3",".",".",".",".",".",".",".","."
"Intro to Athletic Healthcare","127","001","59","3.644","62.7","15.3","15.3","1.7","5.1",".",".",".",".",".",".",".",".",".",".","."
"Sci&Pract Resistance Training","140","001","20","3.650","55.0","30.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Fndations:Hlth Behavior Equity","150","001","106","3.901","89.6","6.6","0.9",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Practicum Promoting Activity","225","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","44","3.909","88.6","4.5","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","19","3.605","52.6","36.8",".",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","68","3.875","79.4","13.2","4.4",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","49","3.194","28.6","24.5","30.6","2.0","10.2","2.0","2.0",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","44","3.750","63.6","27.3","6.8",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","325","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325","002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Group Develop & Behav Manage","","Course Total","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","55","3.982","98.2",".","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","54","3.787","87.0","1.9","5.6",".","1.9","3.7",".",".",".",".",".",".",".",".",".","."
"HPE in Multicultural Society","353","001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Cult of Phys Act","355","001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","33","3.924","93.9","3.0",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","44","3.193","34.1","29.5","11.4","9.1","11.4",".","4.5",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pln, Fac, Assess Mvmt & Hlth","370","001","63","3.905","84.1","14.3",".","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Meth & Prac Dance & Gymnastics","371","001","9","3.667","77.8",".","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Meth & Prac of Sport","373","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
