"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","17","3.265","41.2","11.8","23.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".","."
"","003
101","18","3.389","38.9","22.2","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","101
004","17","3.559","47.1","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","17","3.412","52.9","11.8","11.8","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","101
006","17","3.794","82.4","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
007","19","3.632","63.2","21.1","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","116","3.504","52.6","17.2","17.2","7.8","3.4","1.7",".",".",".",".",".",".",".",".",".","."
"","102
001","10","3.389","50.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","10.0","."
"","102
002","14","3.179","21.4","21.4","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","24","3.261","33.3","25.0","20.8","8.3","4.2",".","4.2",".",".",".",".",".",".",".","4.2","."
"","203
001","11","3.455","36.4","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","20","3.700","65.0","20.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","9","3.444","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Advanced Italian Language","311
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Literature & Culture I","321
001","22","3.818","95.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Machiavelli and His World","365
002","11","3.682","81.8","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","452
001","28","3.846","82.1","7.1",".",".",".","3.6",".",".",".",".",".",".",".","3.6",".","3.6"
"Il Teatro Italiano","623
001","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lineamenti Di Lett Italiana","631
001","8","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","951
001","9","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
